countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
8,ITA,Italy,830,pp,Partito dei Pensionati,Pensioners Party,1999-2019_CHES_codebook
8,ITA,Italy,832,MRE,Movimento Repubblicani Europei,European Republican Movement,1999-2019_CHES_codebook
8,ITA,Italy,835,NPSI,Nuovo Partito Socialista Italiano ,New Italian Socialist Party,1999-2019_CHES_codebook
8,ITA,Italy,836,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists,1999-2019_CHES_codebook
8,ITA,Italy,837,PD,Partido Democratico,Democratic Party,1999-2019_CHES_codebook
8,ITA,Italy,838,SL; SEL,Sinistra e Liberta; Sinistra Ecologia Liberta Sinistra Italiana,Left and Freedom; Left Ecology Freedom Stalian Left-Left Ecology Freedom,1999-2019_CHES_codebook
8,ITA,Italy,839,PSI,Partito Socialista Italiano,Italian Socialist Party,1999-2019_CHES_codebook
8,ITA,Italy,840,MpA,Movimento per le Autonomie,Movement for Autonomies,1999-2019_CHES_codebook
8,ITA,Italy,842,SD,Sinistra Democratica,Democratic Left,1999-2019_CHES_codebook
8,ITA,Italy,843,CD;,Centro Democratico-Diritti e Liberta,Democratic Centre,1999-2019_CHES_codebook
8,ITA,Italy,845,M5S,MoVimento Cinque Stelle,Five Star Movement,1999-2019_CHES_codebook
8,ITA,Italy,846,SC,Scelta Civica,Civic Choice,1999-2019_CHES_codebook
8,ITA,Italy,847,VdA,Vallee dAoste,Aosta Valley,1999-2019_CHES_codebook
8,ITA,Italy,848,NCD,Nuovo Centrodestra,New Centre-Right,1999-2019_CHES_codebook
10,NLD,Netherlands,1001,CDA,Christen-Democratisch  Appel,Christian  Democratic Appeal,1999-2019_CHES_codebook
10,NLD,Netherlands,1002,PvdA,Partij van de Arbeid,Labour Party,1999-2019_CHES_codebook
10,NLD,Netherlands,1003,VVD,Volkspartij voor Vrijheid en Democratie,Peoples Party for Freedom and Democracy,1999-2019_CHES_codebook
10,NLD,Netherlands,1004,D66,Democraten 66,Democrats 66,1999-2019_CHES_codebook
10,NLD,Netherlands,1005,GL,GroenLinks,GreenLeft,1999-2019_CHES_codebook
10,NLD,Netherlands,1006,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,1999-2019_CHES_codebook
10,NLD,Netherlands,1007,GPV,Gereformeerd Politiek Verbond,Reformed Political League,1999-2019_CHES_codebook
10,NLD,Netherlands,1008,RPF,Reformatorische Politieke Federatie,Reformational Political Federation,1999-2019_CHES_codebook
10,NLD,Netherlands,1009,CD,Centrum Democraten,Center Democrats,1999-2019_CHES_codebook
10,NLD,Netherlands,1014,SP,Socialistische Partij,Socialist Party,1999-2019_CHES_codebook
10,NLD,Netherlands,1015,LPF,Lijst Pim Fortuyn,Lijst Pim Fortuyn,1999-2019_CHES_codebook
10,NLD,Netherlands,1016,CU,ChristenUnie,ChristianUnion,1999-2019_CHES_codebook
10,NLD,Netherlands,1017,PVV,Partij voor de Vrijheid,Party for Freedom,1999-2019_CHES_codebook
10,NLD,Netherlands,1018,PvdD,Partij voor de Dieren,Party for the Animals,1999-2019_CHES_codebook
10,NLD,Netherlands,1020,50PLUS,50PLUS,50PLUS,1999-2019_CHES_codebook
10,NLD,Netherlands,1050,DENK,Beweging DENK,Think,1999-2019_CHES_codebook
10,NLD,Netherlands,1051,FvD,Forum voor Democratie,Formn for Democracy,1999-2019_CHES_codebook
11,GBR,United Kingdom,1101,Cons,Conservative Party,Conservative Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1102,Lab,Labour Party,Labour Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1104,LibDem,Liberal Democratic Party,Liberal Democratic Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1105,SNP,Scottish National Party,Scottish National Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1106,Plaid,Plaid Cymru,Party of Wales,1999-2019_CHES_codebook
11,GBR,United Kingdom,1107,Green,Green Party,Green Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1108,UKIP,United Kingdom Independence Party,United Kingdom  Independence Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1109,BNP,British National Party,British National Party,1999-2019_CHES_codebook
11,GBR,United Kingdom,1110,Brexit,Brexit Party,Brexit Party,1999-2019_CHES_codebook
12,PRT,Portugal,1201,CDU,Coligao Democratica Unitar,Democratic Unitarian Coalition,1999-2019_CHES_codebook
12,PRT,Portugal,1202,CDS; PP; CDS-PP,Centro Democratico e Social; Partido Popular; Centro Democratico e Social   Partido Popular,Democratic and Social Center; Peoples Party; CDS-Peoples Party,1999-2019_CHES_codebook
12,PRT,Portugal,1205,PS,Partido Socialista,Socialist Party,1999-2019_CHES_codebook
12,PRT,Portugal,1206,PPD; PSD,Partido Popular Democratico; Partido Social Democrata,Democratic Peoples Party; Social Democratic Party,1999-2019_CHES_codebook
12,PRT,Portugal,1208,BE,Bloco de Esquerda,Left Bloc,1999-2019_CHES_codebook
12,PRT,Portugal,1209,MPT,Partido da Terra,Earth Party,1999-2019_CHES_codebook
12,PRT,Portugal,1210,PCP,Partido Comunista Portugues,Portuguese Communist Party,1999-2019_CHES_codebook
12,PRT,Portugal,1211,PEV,Partido Ecologista Os Verdes,Ecologist Party The Greens,1999-2019_CHES_codebook
12,PRT,Portugal,1250,PAN,Pessosas-Animais-Natureza,People-Animals-Nature,1999-2019_CHES_codebook
13,AUT,Austria,1301,SPO,Sozialdemokratische Partei osterreichs,Social Democratic Party of Austria,1999-2019_CHES_codebook
13,AUT,Austria,1302,OVP,osterreichische Volkspartei,Austrian Peoples Party,1999-2019_CHES_codebook
13,AUT,Austria,1303,FPO,Freiheitliche Partei osterreichs,Freedom Party of Austria,1999-2019_CHES_codebook
13,AUT,Austria,1304,Grune,Die Grunen,The Austrian Green Party,1999-2019_CHES_codebook
13,AUT,Austria,1306,LIF; NEOS,Liberates Forum; NEOS-Das Neue osterreich und Liberates Forum,Liberal Forum; NEOS-The New Austria and Liberal Forum,1999-2019_CHES_codebook
13,AUT,Austria,1307,BZO,Bundnis Zukunft osterreich,Alliance for the Future of Austria,1999-2019_CHES_codebook
13,AUT,Austria,1308,MARTIN,Liste Dr. Hans-Peter Martin,Hans-Peter Martins List,1999-2019_CHES_codebook
13,AUT,Austria,1310,TeamStronach,Team Stronach fur osterreich,Team Stronach for Austria,1999-2019_CHES_codebook
14,FIN,Finland,1401,SOP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland,1999-2019_CHES_codebook
14,FIN,Finland,1402,KOK,Kansallinen Kokoomus,National Coalition Party,1999-2019_CHES_codebook
14,FIN,Finland,1403,KESK,Suomen Keskusta,Finnish Center Party,1999-2019_CHES_codebook
14,FIN,Finland,1404,VAS,Vasemmistoliitto,Left Alliance,1999-2019_CHES_codebook
14,FIN,Finland,1405,PS,Perussuomalaiset,True Finns; The Finns party,1999-2019_CHES_codebook
14,FIN,Finland,1406,RKP/SFP,Ruotsalainen  kansanpuolue/Svenska folkpartiet; Suomen ruotsalainen kansanpuolue/Svenska folkpartiet i Finland,Swedish Peoples Party; The Swedish Peoples Party of Finland,1999-2019_CHES_codebook
14,FIN,Finland,1408,VIHR,Vihrea Liitto,Green League,1999-2019_CHES_codebook
