countryshort,party_id,party,year_first,year_last,partyfacts_id
SRB,3314,LSV,2014,2014,4769
SRB,3315,Dveri,2014,2019,5665
ALB,4101,PS,2014,2019,1729
ALB,4102,LSI,2014,2019,2297
ALB,4103,PBDNJ,2014,2014,1636
ALB,4104,PKDSH,2014,2014,4715
ALB,4105,PD,2014,2019,190
ALB,4106,PR,2014,2014,819
ALB,4107,PDIU,2014,2019,3270
XKX,4201,PDK,2014,2019,2294
XKX,4202,LDK,2014,2019,2295
XKX,4203,LV,2014,2019,2296
XKX,4204,AAK,2014,2014,3243
XKX,4205,SL,2014,2019,5499
XKX,4206,NPK,2014,2014,4765
XKX,4207,AKR,2014,2019,3703
MNE,4301,DPS,2014,2019,3162
MNE,4302,SDP,2014,2019,3185
MNE,4303,LPCG,2014,2014,4768
MNE,4304,NOVA,2014,2019,3252
MNE,4305,PzP,2014,2019,4766
MNE,4306,SNP,2014,2019,3104
MNE,4307,PCG,2014,2014,4767
MNE,4308,BS,2014,2019,3255
UKR,4401,NF,2014,2014,4773
UKR,4402,BPP,2014,2014,4778
UKR,4403,SAMOPOMICH,2014,2014,4776
UKR,4404,OB,2014,2014,4779
UKR,4405,RP,2014,2014,4774
UKR,4406,BATKIVSHCHYNA,2014,2014,3266
UKR,4407,SVOBODA,2014,2014,3267
UKR,4408,KPU,2014,2014,2220
UKR,4409,SU,2014,2014,3178
UKR,4410,GP,2014,2014,4780
UKR,4411,ZASTUP,2014,2014,4772
UKR,4412,PS,2014,2014,4775
BIH,3014,NS,2019,2019,
BIH,3015,PDA,2019,2019,
BIH,3016,SP,2019,2019,
BIH,3017,ASDA,2019,2019,
MKD,3210,BESA,2019,2019,
MKD,3211,AA,2019,2019,
MKD,3212,Levica,2019,2019,
SRB,3316,SPAS,2019,2019,
SRB,3317,NS,2019,2019,
SRB,3318,SSP,2019,2019,
SRB,3319,PSG,2019,2019,
ALB,4108,PSD,2019,2019,
ALB,4109,Grupi Demokrat,2019,2019,
ALB,4110,Grupi partite e djathta,2019,2019,
ALB,4111,Te Parvur,2019,2019,
XKX,4208,NISMA,2019,2019,
XKX,4209,Vakat,2019,2019,
XKX,4210,KDTP,2019,2019,
MNE,4309,DEMOS,2019,2019,
MNE,4310,URA,2019,2019,
MNE,4311,DCG,2019,2019,
MNE,4312,SD,2019,2019,
MNE,4313,FORCA,2019,2019,
MNE,4314,HGI,2019,2019,
MNE,4315,DNP,2019,2019,
DEU,350,LKR,2017,2017,2702
DEU,351,BLAU,2017,2017,2702
GRC,450,EK,2017,2017,2510
ITA,850,SI,2017,2017,1212
ITA,851,MDP,2017,2017,2415
ITA,852,AP,2017,2017,9090
GBR,1150,SF,2017,2017,963
GBR,1151,DUP,2017,2017,335
PRT,1251,PDR,2017,2023,4513
HUN,2312,PM,2017,2017,3115
HUN,2313,MLP,2017,2017,2721
TUR,3408,IYI,2020,2023,6236
TUR,3407,HDP,2020,2023,6042
NOR,3506,KrF,2020,2023,705
NOR,3507,V,2020,2023,1173
NOR,3504,SV,2020,2023,719
NOR,3502,FrP,2020,2023,101
NOR,3503,H,2020,2023,503
NOR,3505,Sp,2020,2023,1072
NOR,3508,MDG,2020,2023,1963
NOR,3501,Ap,2020,2023,448
NOR,3509,RV,2020,2023,44
CHE,3605,GPS/PES,2020,2023,1006
CHE,3603,FDP/PLR,2020,2023,1231
CHE,3606,GPL/PVL,2020,2023,1759
CHE,3607,EVP/PEV,2020,2023,1123
CHE,3604,CVP/PVC,2020,2023,1808
CHE,3612,BDP,2020,2020,1415
CHE,3601,SVP/UDC,2020,2023,308
CHE,3602,SP/PS,2020,2023,29
DNK,221,M,2023,2023,
DNK,222,DD,2023,2023,
FRA,629,UDI,2023,2023,
ITA,849,A-IV,2023,2023,
NLD,1052,Volt,2023,2023,
NLD,1053,JA21,2023,2023,
NLD,1054,BBB,2023,2023,
NLD,1055,BIJ1,2023,2023,
GBR,1112,APNI,2023,2023,
GBR,1113,SF,2023,2023,
GBR,1114,SDLP,2023,2023,
GBR,1115,DUP,2023,2023,
PRT,1252,IL,2023,2023,
PRT,1253,CHEGA,2023,2023,
FIN,1410,LN,2023,2023,
BGR,2020,Vazrazhdane,2023,2023,
BGR,2022,PP,2023,2023,
CZE,2117,Prisaha,2023,2023,
HUN,2315,MKKP,2023,2023,
HUN,2316,MHM,2023,2023,
HUN,2317,MMM,2023,2023,
LVA,2418,S!,2023,2023,
LVA,2419,LPV,2023,2023,
LVA,2420,PRO,2023,2023,
LVA,2421,Platforma 21,2023,2023,
LTU,2524,Laisves,2023,2023,
POL,2623,P2050,2023,2023,
ROU,2715,AUR,2023,2023,
SVK,2822,Aliancia,2023,2023,
SVN,2916,GS,2023,2023,
HRV,3120,M!,2023,2023,
HRV,3121,Centre,2023,2023,
HRV,3122,DPS,2023,2023,
NOR,3510,PF,2023,2023,
ISL,4501,Sj,2023,2023,363
ISL,4502,Graen,2023,2023,457
ISL,4503,F,2023,2023,964
ISL,4504,M,2023,2023,7565
ISL,4505,Sam,2023,2023,1396
ISL,4506,Pi,2023,2023,2048
ISL,4507,V,2023,2023,5454
ISL,4508,FIF,2023,2023,5852
ISL,4509,SFI,2023,2023,
ARG,5001,FT,2020,2020,
ARG,5002,JC,2020,2020,
ARG,5003,CF,2020,2020,
ARG,5004,FI,2020,2020,
ARG,5005,AF,2020,2020,
BOL,5101,MAS,2020,2020,
BOL,5102,CC,2020,2020,
BOL,5103,MDS,2020,2020,
BOL,5104,FUN,2020,2020,
BOL,5105,CR,2020,2020,
BOL,5106,FV,2020,2020,
BOL,5107,MNR,2020,2020,
BOL,5108,JA,2020,2020,
BRA,5201,PT,2020,2020,
BRA,5202,PSL,2020,2020,
BRA,5203,PP,2020,2020,
BRA,5204,PSD,2020,2020,
BRA,5205,MDB,2020,2020,
BRA,5206,PR,2020,2020,
BRA,5207,PS,2020,2020,
BRA,5208,PRB,2020,2020,
BRA,5209,PSDB,2020,2020,
BRA,5210,DEM,2020,2020,
BRA,5211,PDT,2020,2020,
BRA,5212,JB,2020,2020,
CHL,5301,RN,2020,2020,
CHL,5302,UDI,2020,2020,
CHL,5303,PDC,2020,2020,
CHL,5304,PS,2020,2020,
CHL,5305,PPD,2020,2020,
CHL,5306,RD,2020,2020,
CHL,5307,PC,2020,2020,
CHL,5308,EVOPOLI,2020,2020,
CHL,5309,HUM,2020,2020,
CHL,5310,PRSD,2020,2020,
CHL,5311,SP,2020,2020,
COL,5401,PLC,2020,2020,
COL,5402,CD,2020,2020,
COL,5403,RCP,2020,2020,
COL,5404,U,2020,2020,
COL,5405,PCC,2020,2020,
COL,5406,AV,2020,2020,
COL,5407,MIRA,2020,2020,
COL,5408,PDA,2020,2020,
COL,5409,POC,2020,2020,
COL,5410,DEC,2020,2020,
COL,5411,CJL,2020,2020,
COL,5412,ID,2020,2020,
CRI,5501,PLN,2020,2020,
CRI,5502,PRN,2020,2020,
CRI,5503,PAC,2020,2020,
CRI,5504,PUSC,2020,2020,
CRI,5505,PIN,2020,2020,
CRI,5506,PRSC,2020,2020,
CRI,5507,FA,2020,2020,
CRI,5508,ML,2020,2020,
CRI,5509,CAQ,2020,2020,
ECU,5601,PAIS,2020,2020,
ECU,5602,CREO,2020,2020,
ECU,5603,SUMA,2020,2020,
ECU,5604,PSC,2020,2020,
ECU,5605,FE,2020,2020,
ECU,5606,ID,2020,2020,
ECU,5607,PSP,2020,2020,
ECU,5608,MUPP,2020,2020,
ECU,5609,AVANZA,2020,2020,
ECU,5610,FCS,2020,2020,
ECU,5611,LM,2020,2020,
MEX,5701,MORENA,2020,2020,
MEX,5702,PAN,2020,2020,
MEX,5703,PRI,2020,2020,
MEX,5704,PRD,2020,2020,
MEX,5705,PVE,2020,2020,
MEX,5706,MC,2020,2020,
MEX,5707,PDT,2020,2020,
MEX,5708,PES,2020,2020,
MEX,5709,AMLO,2020,2020,
PRY,5801,ANR,2020,2020,
PRY,5802,PLRA,2020,2020,
PRY,5803,FG,2020,2020,
PRY,5804,PPQ,2020,2020,
PRY,5805,PH,2020,2020,
PRY,5806,PEN,2020,2020,
PRY,5807,MCN,2020,2020,
PRY,5808,PDP,2020,2020,
PRY,5809,UNACE,2020,2020,
PRY,5810,MAB,2020,2020,
PER,5901,AP,2020,2020,
PER,5902,PP,2020,2020,
PER,5903,FPAP,2020,2020,
PER,5904,APP,2020,2020,
PER,5905,PURP,2020,2020,
PER,5906,FP,2020,2020,
PER,5907,UPP,2020,2020,
PER,5908,FA,2020,2020,
PER,5909,PDSP,2020,2020,
PER,5910,PPC,2020,2020,
PER,5911,APRA,2020,2020,
PER,5912,MV,2020,2020,
PER,5913,PL,2020,2020,
PER,5914,RP,2020,2020,
PER,5915,AvP,2020,2020,
PER,5916,JP,2020,2020,
URY,6001,FA,2020,2020,
URY,6002,PN,2020,2020,
URY,6003,PC,2020,2020,
URY,6004,CA,2020,2020,
URY,6005,PG,2020,2020,
URY,6006,PERI,2020,2020,
URY,6007,PI,2020,2020,
URY,6008,LL,2020,2020,
VEN,6101,PSUV,2020,2020,
VEN,6102,PJ,2020,2020,
VEN,6103,AD,2020,2020,
VEN,6104,NT,2020,2020,
VEN,6105,VP,2020,2020,
VEN,6106,LCR,2020,2020,
VEN,6107,Tupamaro,2020,2020,
VEN,6108,PC,2020,2020,
VEN,6109,ABP,2020,2020,
VEN,6110,AP,2020,2020,
VEN,6111,EC,2020,2020,
VEN,6112,VV,2020,2020,
VEN,6113,NM,2020,2020,
VEN,6114,JG,2020,2020,
ISR,9701,Likud,2021,2021,
ISR,9702,Yesh Atid,2021,2021,
ISR,9703,Shas,2021,2021,
ISR,9704,B&W,2021,2021,
