huber_id,country,name_english,name,name_short,country_short,dummy_nir
2110,ITALY,Social Movement,Movimento Sociale,MSI,ITA,0
2201,JAPAN,Japan Communist Party,Nihon Kyosan-to,JCP,JPN,0
2202,JAPAN,Japan Socialist Party,Nihon Shakai-to,JSP (SDPJ),JPN,0
2203,JAPAN,Clean Government,Komeito,KOMEI,JPN,0
2204,JAPAN,Democratic Socialist Party,Minshato,DSP,JPN,0
2205,JAPAN,Liberal Democratic Party,Jiyu Minshu-to,LDP,JPN,0
2301,SOUTH KOREA,New Politics Party,Sa Jongjhi Dang,NPP,KOR,0
2302,SOUTH KOREA,Democratic Party,Minju Dang,DP,KOR,0
2303,SOUTH KOREA,Democratic Liberal Party,Minja Dang,DLP,KOR,0
2304,SOUTH KOREA,Unification Nationalist Party,Tongi Kookmin Dang,UNP,KOR,0
2401,LITHUANIA,Democratic Labor Party,Lietuvos Demokratine Darbo Partija,LDLP,LTU,0
2402,LITHUANIA,Social Democratic Party,Lietuvos Socialdemokratu Partija,LSDP,LTU,0
2403,LITHUANIA,Center Movement,Lietuvos Centras Sajudis,LCM,LTU,0
2404,LITHUANIA,Christian Democratic Party,Lietuvos Krikscioniu Demokratu Partija,LCDP,LTU,0
2405,LITHUANIA,Liberal Union,Liberalu Sajunga,LLU,LTU,0
2406,LITHUANIA,Lithuanian Conservatives,Tevynes Sajunga,LC,LTU,0
2407,LITHUANIA,Democratic Party,Demokratu Partija,LDP,LTU,0
2501,MEXICO,Democratic Revolutionary Party,Partido Revolutionario Democratico,PRD,MEX,0
2502,MEXICO,Institutional Revolutionary Party,Partido Revolutionario Institucional,PRI,MEX,0
2503,MEXICO,National Action Party,Partido Accion Nacional,PAN,MEX,0
2601,NETHERLANDS,Green Left,Groen Links,GL,NLD,0
2602,NETHERLANDS,Labour,Partij van de Arbeid,Pvda,NLD,0
2603,NETHERLANDS,Democrats '66,Democraten '66,D'66,NLD,0
2604,NETHERLANDS,Christian Democrat,Christen-Democratisch Appel,CDA,NLD,0
2605,NETHERLANDS,Liberal,Volkspartij voor Vrijheid en Demokratie,VVD,NLD,0
2606,NETHERLANDS,Reformed Political Union,Gereformeerd Politiek Verbond,GPV,NLD,0
2607,NETHERLANDS,Political Reformed Party,Staatkundig Gereformeerde Partij,SGP,NLD,0
2608,NETHERLANDS,Reformed Political Federation,Reformatische Politieke Federatie,RPF,NLD,0
2609,NETHERLANDS,Center Democrats,Centrumdemocraten,CD,NLD,0
2701,NEW ZEALAND,New Labour Party,New Labour Party,NLP,NZL,0
2702,NEW ZEALAND,People's Alliance,People's Alliance,A,NZL,0
2703,NEW ZEALAND,Labour Party,Labour Party,LP,NZL,0
2704,NEW ZEALAND,National Party,National Party,NP,NZL,0
2801,NIGERIA,Social Democratic Party,Social Democratic Party,SDP,NGA,0
2802,NIGERIA,National Republican Convention,National Republican Convention,NRC,NGA,0
2901,NORWAY,Radical Party,Radikale Venstreparti,RV,NOR,0
2902,NORWAY,Socialist Party,Sosialistik Venstreparti,SV,NOR,0
2903,NORWAY,Labour Party,Det Norske Arbeiderparti,Ap,NOR,0
2904,NORWAY,Center Party,Senterpartiet,SP,NOR,0
2905,NORWAY,Agrarian Party,Landmansforbundet,L,NOR,0
2906,NORWAY,Liberal,Venstre,V,NOR,0
2907,NORWAY,Christian People's Party,Kristelig Folkeparti,KrF,NOR,0
2908,NORWAY,Conservative,Hoyre,H,NOR,0
2909,NORWAY,Progress Party,Fremskrittspartiet,Fp,NOR,0
3001,POLAND,Alliance of Democratic Left,Sojusz Lewicy Demokratycznej,SLD,POL,0
3002,POLAND,Polish Peasant Party,Polskie Stronnictwo Ludowe,PSL,POL,0
3003,POLAND,Democratic Union,Unia Demokratyczna,UD,POL,0
3004,POLAND,Liberal-Democratic Congress,Kongres Liberalno-Demokratyczny,KLD,POL,0
3005,POLAND,Civic Alliance Center,Porozumienie Obywatelskie Centrum,POC,POL,0
3006,POLAND,Confederation for an Independent Poland,Konfederacja Polski Niepodleglej,KPN,POL,0
3007,POLAND,Catholic Elector Action,Wyborcza Akcja Katolicka,ZChN/WAK,POL,0
3101,PORTUGAL,Communist,Partido Comunista Portugues,PCP,PRT,0
3102,PORTUGAL,Socialist,Partido Socialista,PSP,PRT,0
3103,PORTUGAL,Social Democrat,Partido Social Democrata,PSD,PRT,0
3104,PORTUGAL,Social and Democratic Center Party or Popular Party,Partido do Centro Democratico e Social,CDS,PRT,0
3201,ROMANIA,Liberal Party,Liberal Party,PL,ROU,0
3202,ROMANIA,Romanian Social Democratic Party,Partidul Social-Democrat Roman,PSDR,ROU,0
3203,ROMANIA,Party of the Civic Alliance,Party of the Civic Alliance,PAC,ROU,0
3204,ROMANIA,National Salvation Front,National Salvation Front,FNS,ROU,0
3205,ROMANIA,Christian Democratic National Peasants' Party,Partidul National Taranesc-Crestin si Democrat,PNTCD,ROU,0
3206,ROMANIA,FDSN,FDSN,FDSN,ROU,0
3207,ROMANIA,Agrarian Democratic Party,Agrarian Democratic Party,PDAR,ROU,0
3208,ROMANIA,Romanian National Unity Party,Romanian National Unity Party,PUNR,ROU,0
3209,ROMANIA,PRM,PRM,PRM,ROU,0
3210,ROMANIA,Socialist Labor Party,Socialist Labor Party,PSM,ROU,0
3301,RUSSIA,Democratic Union,Demokraticheskii Soyuz,DS,RUS,0
3302,RUSSIA,Social Democratic Party of Russia,Sotsial-Demokrati-cheskaia Partiia Rossii,SDPR,RUS,0
3303,RUSSIA,Free Democratic Party of Russia,Svobodnaia Demokratichestraia Partiia Rossii,,RUS,0
3304,RUSSIA,Russian Party of Free Labor,Rossiiskaia Partiia Svobodnoyo Truda,RPST,RUS,0
3305,RUSSIA,Democratic Party of Russia,Demokraticheskaia Partiia Rossii,DPR,RUS,0
3306,RUSSIA,Republican Party of Russian Federation,Respublikanskaia Partiia Rossiiskoi Federatsii,RPRF,RUS,0
3307,RUSSIA,People's Party of Free Russia/Democratic Party of Communism of Russia,Narodnaia Partiio Svobodnoi Rossii,NPSR,RUS,0
3308,RUSSIA,Civic Union,Gradzhdanskii Soyuz,GS,RUS,0
