country,type,party_abbreviation,party_native,party_english,partyfacts_id,election_years,party_id,dup
HRV,parliament,ZIVI ZID,Zivi zid,Human Shield,4867,2015,HRV-ZIVI ZID,FALSE
HRV,ep,AM,Akcija mladih,Youth Action,3136,2013,HRV-AM,FALSE
HRV,ep,BM 365,Bandic Milan 365 - Stranka rada i solidarnosti,Milan Bandic 365 - The Party of Labour and Solidarity,5452,2019,HRV-BM 365,FALSE
HRV,ep,HNS,Hrvatska narodna stranka - Liberalni Demokrati,Croatian People's Party - Liberal Democrats,799,2019,HRV-HNS,FALSE
HRV,ep,HRAST,Hrvatski rast,Croatian Growth,3138,2013,HRV-HRAST,FALSE
HRV,ep,Independent,independent,independent,2650,"2013, 2019",HRV-Independent,FALSE
HRV,ep,ORaH,Odrzivi razvoj Hrvatske,"Sustainable
Development of Croatia",3201,2014,HRV-ORaH,FALSE
HRV,ep,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,1475,2019,HRV-SDP,FALSE
HRV,ep,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serb Party,2348,2019,HRV-SDSS,FALSE
HRV,ep,SU,"Hrvatska stranka
umirovljenika","Croatian Party of
Pensioners",2062,2013,HRV-SU,FALSE
HRV,ep,ZELENI ZAJEDNO,Zeleni Zajedno,Greens Together,3137,2013,HRV-ZELENI ZAJEDNO,FALSE
CYP,parliament,ADIK,Agonistiko Dimokratiko Kinima,Fighting Democratic Movement,1625,"1991, 1996, 2001",CYP-ADIK,FALSE
CYP,parliament,AKEL,Anorthotiko Komma Ergazomenou Laou,Progressive Party of Working People,1076,"1991, 1996, 2001,
2006, 2011, 2016",CYP-AKEL,FALSE
CYP,parliament,APC,Kinima gia ta zoa tis Kiprou,Animal Party Cyprus,4884,2016,CYP-APC,FALSE
CYP,parliament,DIKO,Dimokratiko Komma,Democratic Party,635,"1991, 1996, 2001,
2006, 2011, 2016",CYP-DIKO,FALSE
CYP,parliament,DISY,Dimokratikos Sinayermos,Democratic Rally,563,"1991, 1996, 2001,
2006, 2011, 2016",CYP-DISY,FALSE
CYP,parliament,ED,Enomeni Dimokrates,United Democrats,321,"2001, 2006, 1996",CYP-ED,FALSE
CYP,parliament,EDEK,Kinima Sosialdimokraton EDEK,Movement for Social Democracy EDEK,1028,"1991, 1996, 2001,
2006, 2011, 2016",CYP-EDEK,FALSE
CYP,parliament,ELAM,Ethniko Laiko Metopo,National Popular Front,1013,"2011, 2016",CYP-ELAM,FALSE
CYP,parliament,EURO.KO,Evropaiko Komma,European Party,1817,"2006, 2011",CYP-EURO.KO,FALSE
CYP,parliament,KEP,K.E.P,Free Citizens Movement,1066,2006,CYP-KEP,FALSE
CYP,parliament,KOP,Kinima Oikologoi Perivallontistoi,Ecological and Environmental Movement,858,"1996, 2001, 2006,
2011, 2016",CYP-KOP,FALSE
