country,party_id,party_abbreviation,party_name,party_name_english,country_short,partyfacts_id
Poland,2106,razem,Partia Razem,Together Party,POL,2992
Poland,2107,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,POL,57
Poland,2108,Wolność,Wolność,Liberty,POL,4629
Portugal,2201,PSD,Partido  Popular  Democrático/Partido  Social Democrata,Social Democratic Party,PRT,1359
Portugal,2202,PS,Partido Socialista,Socialist Party,PRT,655
Portugal,2203,BE,Bloco de Esquerda,Bloc of the Left,PRT,1310
Portugal,2204,CDS-PP,Centro Democrático e Social – Partido Popular,People's Party,PRT,1308
Portugal,2205,CDU,Coligação Democrática Unitária,Unified Democratic Coalition,PRT,284
Portugal,2206,PAN,Pessoas-Animais-Natureza,People-Animals-Nature,PRT,97
Romania,2301,PSD,Partidul Social Democrat,Social Democratic Party,ROU,120
Romania,2302,PNL,Partidul Național Liberal,National Liberal Party,ROU,481
Romania,2303,USR,Uniunea Salvați România,Save Romania Union,ROU,5969
Romania,2304,UDMR,Uniunea    Democrată    Maghiară    din RomâniaRomániai    Magyar    Demokrata Szövetség,Democratic  Union  of  Hungarians  in Romania,ROU,1105
Romania,2305,ALDE,Partidul Alianța Liberalilor și Democraților,Alliance of Liberals and Democrats,ROU,5662
Romania,2306,PMP,Partidul Mișcarea Populară,People's Movement Party,ROU,3210
Slovakia,2401,Smer-SD,Smer – sociálna demokracia,Direction – Social Democracy,SVK,311
Slovakia,2402,SaS,Sloboda a Solidarita,Freedom and Solidarity,SVK,1386
Slovakia,2403,OĽaNO,Obyčajní ľudia a nezávislé osobnosti,Ordinary  People  and  Independent Personalities,SVK,2130
Slovakia,2404,SNS,Slovenská národná strana,Slovak National Party,SVK,730
Slovakia,2405,LSNS,Kotleba - Ľudová strana Naše Slovensko,Kotleba - People's Party Our Slovakia,SVK,656
Slovakia,2406,SME RODINA,SME RODINA – Boris Kollár,We are family - Boris Kollár,SVK,4873
Slovakia,2407,MOST-HÍD,Most–Híd,Bridge,SVK,258
Slovakia,2408,Spolu,Spolu – občianska demokracia,Together – Civic Democracy,SVK,
Slovakia,2409,PS,Progresívne Slovensko,Progressive Slovakia,SVK,
Slovakia,2410,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement,SVK,63
Slovenia,2501,SMC,Stranka modernega centra,Party of Miro Cerar,SVN,3098
Slovenia,2502,SDS,Slovenska demokratska stranka,Slovenian Democratic Party,SVN,472
Slovenia,2503,DeSUS,Demokratična stranka upokojencev Slovenije,Democratic  Party  of  Pensioners  of Slovenia,SVN,467
Slovenia,2504,SD,Socialni demokrati,Social Democrats,SVN,1403
Slovenia,2505,Levicia,Združena levica,The Left (former United Left alliance),SVN,6131
Slovenia,2506,NSI,Nova Slovenija – Krščanski demokrati,New Slovenia - Christian People's Party,SVN,1618
Slovenia,2507,PAB,Stranka Alenke Bratušek,Party of Alenka Bratusek,SVN,3114
Slovenia,2508,LMŠ,Marjan Šarec List,Marjan Šarec List,SVN,6132
Spain,2601,PP,Partido Popular,People's Party,ESP,441
Spain,2602,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers Party,ESP,1338
Spain,2603,Podemos,Podemos,We Can,ESP,3203
Spain,2604,Cs,Ciudadanos,Citizens -- Party of the Citizenry,ESP,3217
Spain,2605,IU,Izquierda Unida,United Left,ESP,247
Spain,2606,EAJ-PNV,Euzko Alderdi Jeltzalea / Partido Nacionalista Vasco,Basque Nationalist Party,ESP,1637
Spain,2607,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia,ESP,848
Spain,2608,C,Compromís,Compromise,ESP,4019
Spain,2609,EH-Bildu,Euskal Herria Bildu,Basque Country Unite,ESP,1324
Spain,2610,CC,Coalición Canari,Canary Coalition,ESP,81
Spain,2611,PDeCAT,Partit Demòcrata Europeu Català,Catalan European Democratic Party,ESP,4795
Sweden,2701,S,Sveriges Socialdemokratiska arbetarparti,Social Democrats,SWE,487
Sweden,2702,M,Moderata samlingspartiet,Moderate Coalition Party,SWE,690
Sweden,2703,SD,Sverigedemokraterna,Sweden Democrats,SWE,409
Sweden,2704,MP,Miljöpartiet de Gröna,Greens,SWE,456
Sweden,2705,C,Centerpartiet,Centre Party,SWE,199
Sweden,2706,V,Vänsterpartiet,Left Party,SWE,830
Sweden,2707,L,Liberalerna,Liberals,SWE,1274
Sweden,2708,KD,Kristdemokraterna,Christian Democrats,SWE,651
Switzerland,2801,SVP-UDC,Schweizerische    Volkspartei    /    Union Démocratique du Centre / Unione Democratica di Centro,Swiss People's Party,CHE,308
Switzerland,2802,SP-PS,Sozialdemokratische Partei der Schweiz / Parti socialiste suisse / Partito Socialista Svizzero,Social Democratic Party of Switzerland,CHE,29
Switzerland,2803,FDP,FDP.Die  Liberalen  /  PLR.Les  Libéraux- Radicaux / PLR.I Liberali,FDP.The Liberals,CHE,360
Switzerland,2804,CVP-PDC,Christlichdemokratische  Volkspartei  /  Parti Démocrate-Chrétien   /   Partito   Popolare Democratico,Christian Democratic Peoples Party,CHE,1808
Switzerland,2805,Grüne/Verts,Grüne Partei der Schweiz / Les verts – Parti écologiste suisse / I Verdi – Partito ecologista svizzero,Green Party of Switzerland,CHE,1006
Switzerland,2806,GPL-PVL,Grünliberale Partei / Parti vert'libéral / Partito Verde-Liberale,Green Liberal Party,CHE,1759
Switzerland,2807,BDP,Bürgerlich-Demokratische Partei Schweiz / Parti bourgeois  démocratique  suisse  /  Partito borghese democratico Svizzero,Conservative  Democratic  Party  of Switzerland,CHE,1415
Switzerland,2808,EVP-PEP,Eidgenössisch-Demokratische  Union  /  Union Démocratique Fédérale / Unione Democratica Federale,Federal    Democratic    Union    of Switzerland,CHE,1123
Switzerland,2809,LdT,Liga der Tessiner / Ligue des Tessinois / Lega dei Ticinesi,Ticino League,CHE,1661
Switzerland,2810,PdA,Partei der Arbeit der Schweiz / Parti Suisse du Travail - Parti Ouvrier et Populaire / Partito Svizzero del Lavoro - Partito Operaio e Popolare,Swiss Party of Labour,CHE,669
Switzerland,2811,MCG,Mouvement Citoyens Genevois,Geneva Citizens' Movement,CHE,
United Kingdom,2901,Con,Conservatives,Conservatives,GBR,1567
United Kingdom,2902,Lab,Labour,Labour,GBR,1516
United Kingdom,2904,LD,Liberal Democrats,Liberal Democrats,GBR,540
United Kingdom,2905,DUP,Democratic Unionist party,Democratic Unionist Party,GBR,
United Kingdom,2906,SF,Sinn Fein,Sinn Fein,GBR,
United Kingdom,2907,Plaid,Plaid Cymru,Plaid Cymru,GBR,1002
United Kingdom,2908,GP,Green Party,Green Party,GBR,1794
United Kingdom,2909,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party,GBR,
United Kingdom,2910,UKIP,United Kingdom Independent Party,United Kingdom Independent Party,GBR,601
