countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
BGR,DPS,180005,1990,2023,15.8,2009
DNK,FrP,30015,1973,1998,15.6,1973
CZE,US (US- DEU),200014,1996,2006,15.5,1996
BGR,V,180026,2021,2023,15.4,2023
BEL,sp.a,20004,1978,2019,15.2,2003
NOR,KRF,130005,1945,2021,15.2,1997
DNK,RV,30007,1945,2022,15.1,1968
DNK,SF,30005,1960,2022,15.1,1987
DEU,FDP,60006,1949,2021,15,2009
LUX,Gréng,110005,1994,2018,15,2018
LVA,LNNK,230028,1993,1995,15,1993
LVA,AS,230039,2022,2022,15,2022
ESP,Vox,150020,1977,2019,14.9,2019
SVK,SaS,280017,2010,2020,14.9,2016
IRL,Others/Indep.,90099,1944,2016,14.6,2016
HRV,Others/Indep.,300099,1990,2020,14.6,2016
FRA,L,50002,2017,2022,14.3,2022
AUT,GA,10002,1986,2019,14.2,2019
BGR,DB,180024,2021,2023,14.2,2021
NOR,V,130004,1945,2021,14,1949
NOR,SF-SV,130002,1961,2021,14,2001
LVA,TB,230022,1993,1995,14,1995
LVA,LSDSP,230006,1993,2011,14,1998
LVA,LPP,230029,2002,2002,14,2002
EST,E200,210025,2023,2023,13.9,2023
ITA,DeL,100026,2001,2001,13.4,2001
DEU,AfD,60016,2017,2021,13.3,2017
POL,Others/Indep.,260099,1991,2019,13.3,2001
HUN,JOBBIK,220002,2006,2022,13.1,2018
ROU,PRO,270027,2016,2016,13.1,2016
NLD,ARP,120011,1946,1972,13,1946
LVA,SLAT,230009,1993,1993,13,1993
LVA,Others/Indep.,230099,1995,2018,13,2018
POL,UW-PD,260019,1997,2007,13,1997
EST,ERL,210008,2003,2007,12.9,2003
SVN,Levica,290022,2014,2018,12.5,2018
HUN,FKGP,220003,1990,2018,12.4,1998
SWE,V,160001,1944,2022,12.3,1998
LTU,LCS,240013,1992,2000,12.3,1996
SVK,KDH,280012,1992,2012,12.3,2006
DEU,Linke,60002,1987,2021,12.2,2009
POL,SRP,260001,1993,2011,12.2,2005
SVK,SR,280020,2016,2020,12.2,2020
DNK,DKP,30001,1945,1977,12.1,1945
SWE,KD,160006,1991,2022,12,1998
CZE,VV,200008,2010,2010,12,2010
