"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1126,"CYP","Cyprus","KS-EDEK","Social Democrats","","social democrats ks edek",2006,2012,"","","","Social Democrats (KS EDEK)","Social Democrats (KS EDEK)","Social Democrats (KS EDEK)","Social Democrats (KS EDEK)"
1863,"CYP","Cyprus","","The Cyprus Green Party","","the cyprus green party",2006,2012,"","","","The Cyprus Green Party","The Cyprus Green Party","The Cyprus Green Party","The Cyprus Green Party"
1018,"CYP","Cyprus","EDI","United Democrats","","united democrats edi",2006,2010,"","","","United Democrats","United Democrats (EDI)","United Democrats (EDI)",""
1559,"CZE","Czech Republic","","Association of Independents","","association of independents",2002,2004,"","Association of Independents","Association of Independents","","","",""
1338,"CZE","Czech Republic","","Coalition (Christian Dem.&Freedom Union)","","coalition christian dem freedom union",2002,2004,"","Coalition (Christian Dem.&Freedom Union)","Coalition (Christian Dem.&Freedom Union)","","","",""
1241,"CZE","Czech Republic","CSNS","Czech National Social Party","","csns cz national social p",2002,2004,"","CSNS Cz.National Social P.","CSNS Cz.National Social P.","","","",""
1288,"CZE","Czech Republic","CSSD","Cz.Social Democratic P.","","cssd",2002,2012,"","CSSD Cz.Social Democratic P.","CSSD Cz.Social Democratic P.","","CSSD","CSSD","CSSD"
1665,"CZE","Czech Republic","KDU-CSL","Christian Democratic P.","","kdu csl",2002,2010,"","KDU-CSL Christian Democratic P.","KDU-CSL Christian Democratic P.","","KDU-CSL","KDU-CSL",""
1330,"CZE","Czech Republic","KSCM","Communist P.of Bohemia&Moravia","","kscm",2002,2012,"","KSCM Communist P.of Bohemia&Moravia","KSCM Communist P.of Bohemia&Moravia","","KSCM","KSCM","KSCM"
1117,"CZE","Czech Republic","","Hope","Nadeje","nadeje hope",2002,2004,"","Nadeje (Hope)","Nadeje (Hope)","","","",""
1187,"CZE","Czech Republic","ODA","Civic Democratic Alliance","","oda civic democratic alliance",2002,2004,"","ODA Civic Democratic Alliance","ODA Civic Democratic Alliance","","","",""
1714,"CZE","Czech Republic","ODS","Civic Democratic P.","","ods",2002,2012,"","ODS Civic Democratic P.","ODS Civic Democratic P.","","ODS","ODS","ODS"
