cntry,party_id,duplicate,ignore,party_short,party_english,party_name,share,party_id_old,ess_key,party
EE,EE-5-9,,,,Estonian Christian Peoples Party/Party of Estonian Christian Democrats,Erakond Eesti Kristlikud Demokraadid,0.7,1086,ee -- erakond eesti kristlikud demokraadid,Erakond Eesti Kristlikud Demokraadid
EE,EE-5-6,,,,Estonian Greens,Erakond Eestimaa Rohelised,5,1675,ee -- erakond eestimaa rohelised,Erakond Eestimaa Rohelised
EE,EE-7-3,,,,Pro Patria and Res Publica Union,Erakond Isamaa ja Res Publica Liit,15.7,1874,ee -- erakond isamaa ja res publica liit,Erakond Isamaa ja Res Publica Liit
EE,EE-3-2,EE-7-2,,,Estonian Centre Party/The Estonian Centre Party,Eesti Keskerakond,34.5,1036,ee -- estonian centre party,Estonian Centre Party
EE,EE-2-8,EE-5-9,,,Estonian Christian Peoples Party/Party of Estonian Christian Democrats,Erakond Eesti Kristlikud Demokraadid,0.1,1086,ee -- estonian christian peoples party,Estonian Christian Peoples Party
EE,EE-4-6,EE-5-6,,,Estonian Greens,Erakond Eestimaa Rohelised,7.9,1675,ee -- estonian greens,Estonian Greens
EE,EE-4-9,,,,Estonian Independence Party,,0.2,1169,ee -- estonian independence party,Estonian Independence Party
EE,EE-2-6,EE-6-4,,,Estonian People's Union/The People's Union of Estonia,Eestimaa Rahvaliit/Eesti Konservatiivne Rahvaerakond endine Rahvaliit,10.5,1074,ee -- estonian people's union,Estonian People's Union
EE,EE-4-3,EE-5-3,,,Estonian Reform Party,Eesti Reformierakond,33.7,1062,ee -- estonian reform party,Estonian Reform Party
EE,EE-2-5,,,,Estonian Social Democratic Party/Estonian Social Democrats/The Social Democratic Party,Sotsiaaldemokraatlik Erakond,7.5,1817,ee -- estonian social democratic party,Estonian Social Democratic Party
EE,EE-3-5,EE-2-5,,,Estonian Social Democratic Party/Estonian Social Democrats/The Social Democratic Party,Sotsiaaldemokraatlik Erakond,6.4,1817,ee -- estonian social democrats,Estonian Social Democrats
EE,EE-4-8,,,,Estonian United Left Party,,0.1,1631,ee -- estonian united left party,Estonian United Left Party
EE,EE-2-7,,,,Estonian United People's Party,,0.3,1869,ee -- estonian united people's party,Estonian United People's Party
EE,EE-2-12,,1,,Independent candidates,Üksikkandidaat/Üksikkandidaadi poolt,0.4,1637,ee -- independent candidates,Independent candidates
EE,EE-7-6,,,,,Konservatiivne Rahvaerakond (endie Rahvaliit),1,3015,ee -- konservatiivne rahvaerakond (endie rahvaliit),Konservatiivne Rahvaerakond (endie Rahvaliit)
EE,EE-5-11,,,,,Mitte kellegi poolt,0.1,2017,ee -- mitte kellegi poolt,Mitte kellegi poolt
EE,EE-4-7,EE-5-9,,,Estonian Christian Peoples Party/Party of Estonian Christian Democrats,Erakond Eesti Kristlikud Demokraadid,0.7,1086,ee -- party of estonian christian democrats,Party of Estonian Christian Democrats
EE,EE-2-1,,,,Party Res Publica,Res Publica,24.3,1181,ee -- party res publica,Party Res Publica
EE,EE-4-1,EE-7-3,,,Pro Patria and Res Publica Union,Erakond Isamaa ja Res Publica Liit,15.3,1874,ee -- pro patria and res publica union,Pro Patria and Res Publica Union
EE,EE-3-4,,,,Pro Patria Union,,10.3,1402,ee -- pro patria union,Pro Patria Union
EE,EE-3-1,EE-2-1,,,Party Res Publica,Res Publica,14.4,1181,ee -- res publica,Res Publica
EE,EE-2-11,,,,Russian Party in Estonia,,0.1,1799,ee -- russian party in estonia,Russian Party in Estonia
EE,EE-6-5,EE-2-5,,,Estonian Social Democratic Party/Estonian Social Democrats/The Social Democratic Party,Sotsiaaldemokraatlik Erakond,18.8,1817,ee -- sotsiaaldemokraatlik erakond,Sotsiaaldemokraatlik Erakond
EE,EE-4-2,EE-7-2,,,Estonian Centre Party/The Estonian Centre Party,Eesti Keskerakond,27.2,1036,ee -- the estonian centre party,The Estonian Centre Party
EE,EE-4-4,EE-6-4,,,Estonian People's Union/The People's Union of Estonia,Eestimaa Rahvaliit/Eesti Konservatiivne Rahvaerakond endine Rahvaliit,5.3,1074,ee -- the people's union of estonia,The People's Union of Estonia
EE,EE-4-5,EE-2-5,,,Estonian Social Democratic Party/Estonian Social Democrats/The Social Democratic Party,Sotsiaaldemokraatlik Erakond,9.3,1817,ee -- the social democratic party,The Social Democratic Party
EE,EE-6-11,,1,,Independent candidates,Üksikkandidaat/Üksikkandidaadi poolt,5.1,1637,ee -- üksikkandidaadi poolt,Üksikkandidaadi poolt
EE,EE-7-10,,1,,,Üksikkandidaadid või muud,4.7,3016,ee -- üksikkandidaadid või muud,Üksikkandidaadid või muud
EE,EE-5-10,,1,,Independent candidates,Üksikkandidaat/Üksikkandidaadi poolt,1.5,1637,ee -- üksikkandidaat,Üksikkandidaat
EE,EE-7-7,,,,,Vene Erakond Eestis,0.1,3017,ee -- vene erakond eestis,Vene Erakond Eestis
ES,ES-7-5,,,AMAIUR,,,1.3,1592,es -- amaiur,AMAIUR
ES,ES-5-12,,,,Blank vote,,3.6,1500,es -- blank vote,Blank vote
ES,ES-4-7,,,BNG,Bloque Nacionalista Galego,,2.5,1415,es -- bloque nacionalista galego (bng),Bloque Nacionalista Galego (BNG)
ES,ES-2-12,,,CHA,Chunta Aragonesista,,0.5,1777,es -- chunta aragonesista (cha),Chunta Aragonesista (CHA)
ES,ES-6-10,,,CC/CC-PNC,Coalición Canaria / Partido Nacionalista Canario,,0.5,1248,es -- coalición canaria - nueva canarias,Coalición Canaria - Nueva Canarias
ES,ES-1-10,ES-6-10,,CC/CC-PNC,Coalición Canaria / Partido Nacionalista Canario,,0.8,1248,es -- coalición canaria (cc),Coalición Canaria (CC)
ES,ES-5-8,ES-6-10,,CC/CC-PNC,Coalición Canaria / Partido Nacionalista Canario,,0.4,1248,es -- coalición canaria-partido nacionalista canario (cc-pnc),Coalición Canaria-Partido Nacionalista Canario (CC-PNC)
ES,ES-6-11,,,EQUO,Compromís,,1.2,1251,es -- compromís - equo,Compromís - EQUO
ES,ES-1-4,,,,Convergència i Unió CiU,,6.2,1023,es -- convergència i unió (ciu),Convergència i Unió (CiU)
ES,ES-3-5,,,ERC,Esquerra Repubicana de Catalunya,,2.3,1320,es -- esquerra repubicana de catalunya (erc),Esquerra Repubicana de Catalunya (ERC)
ES,ES-7-8,ES-3-5,,ERC,Esquerra Repubicana de Catalunya,,2.5,1320,es -- esquerra republicana de catalunya (erc),Esquerra Republicana de Catalunya (ERC)
ES,ES-1-8,,,EA,Eusko Alkartasuna,,0.2,1876,es -- eusko alkartasuna (ea),Eusko Alkartasuna (EA)
ES,ES-6-12,,,,Foro de Ciudadanos,,0.3,1101,es -- foro de ciudadanos,Foro de Ciudadanos
ES,ES-7-13,,,,Geroa Bai,,0.2,1522,es -- geroa bai,Geroa Bai
ES,ES-1-6,,,ICV,Iniciativa per Catalunya-Verds,,0.8,1761,es -- iniciativa per catalunya-verds (icv),Iniciativa per Catalunya-Verds (ICV)
ES,ES-2-3,,,IU,Izquierda Unida,,5.8,1057,es -- izquierda unida (iu),Izquierda Unida (IU)
ES,ES-7-4,,,IU,,Izquierda Unida (ICV en Cataluña),8.9,3018,es -- izquierda unida (iu) - (icv en cataluña),Izquierda Unida (IU) - (ICV en Cataluña)
ES,ES-4-9,,,NA-BAI,Nafarroa-Bai,,0.2,1398,es -- nafarroa-bai (na-bai),Nafarroa-Bai (NA-BAI)
ES,ES-6-14,,1,,,Otros,3.3,3019,es -- otros,Otros
