partyfacts_id,country_name,name,name_english,wp_title,wp_url
6973,Montenegro,Mijušković Group,Mijušković Group,List of Montenegrins,https://en.wikipedia.org/wiki/List_of_Montenegrins
3184,Montenegro,Socijaldemokratska Partija Reformista,Social-Democratic Party of Reformists,,
5324,Morocco,Front for the Defence of Constitutional Institutions,Front for the Defence of Constitutional Institutions,Front for the Defence of Constitutional Institutions,https://en.wikipedia.org/wiki/Front_for_the_Defence_of_Constitutional_Institutions
6083,Mozambique,Untao Democratlca de Mocambique,Democratic Union,,
6447,Namibia,Action Front for the Retention of Turnhalle Principles,Action Front for the Retention of Turnhalle Principles,1978 South West African legislative election,https://en.wikipedia.org/wiki/1978_South_West_African_legislative_election
6602,Namibia,German League in South West Africa,German League in South West Africa,German South West Africa,https://en.wikipedia.org/wiki/German_South_West_Africa
5686,Netherlands,Conservatieven,Conservatives,List of political parties in the Netherlands,https://en.wikipedia.org/wiki/List_of_political_parties_in_the_Netherlands
5384,Nicaragua,Partido Liberal,Liberal Party,Independent Liberal Party (Nicaragua),https://en.wikipedia.org/wiki/Independent_Liberal_Party_(Nicaragua)
6847,Nicaragua,Partido Conservador Nicaragüense,Nicaraguan Conservative Party,Conservative Party (Nicaragua),https://en.wikipedia.org/wiki/Conservative_Party_(Nicaragua)
6977,Nigeria,Calabar Ratepayers' Association,Calabar Ratepayers' Association,1928 Nigerian general election,https://en.wikipedia.org/wiki/1928_Nigerian_general_election
6975,Nigeria,Democratic Party of Nigeria,Democratic Party of Nigeria,Cinema of Nigeria,https://en.wikipedia.org/wiki/Cinema_of_Nigeria
4075,Norway,Høyre | Det Liberale Folkepartiet,Conservative Party | Liberal People's Party,List of political parties in Norway,https://en.wikipedia.org/wiki/List_of_political_parties_in_Norway
1926,Norway,Felleslister borgerlige,Electoral lists conservatives,,
5513,Pakistan,Qayyum Moslem League,Convention Moslem League,All-India Muslim League,https://en.wikipedia.org/wiki/All-India_Muslim_League
5718,Panama,Partido Liberal Auténtico,Authentic Liberal Party,Liberalism in Panama,https://en.wikipedia.org/wiki/Liberalism_in_Panama
5319,Panama,Partido Revolucionario Auténtico,Authentic Revolutionary Party,Liberalism in Cuba,https://en.wikipedia.org/wiki/Liberalism_in_Cuba
5314,Panama,Partido Liberal Doctrinario,Liberal Doctrinaire Party,,
5315,Panama,Partido Liberal,Liberal Party,National Liberal Party (Panama),https://en.wikipedia.org/wiki/National_Liberal_Party_(Panama)
5316,Panama,Partido Liberal Renovador,Liberal Renewal Party,,
5317,Panama,Union Nacional Democratica,National Democratic Union,World Federation of Democratic Youth,https://en.wikipedia.org/wiki/World_Federation_of_Democratic_Youth
