"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"POL","UW","Unia Wolnosci","Freedom Union",1994,2005,"616009",1566
"POL","LPR","Liga Polskich Rodzin","League of Polish Families",2001,,"616010",1768
"POL","Sam","Samoobrona","Self-Defence",1992,2012,"616011",
"POL","NP.","Nowa Prawica","New Right",2011,,"616012",
"PRT","BE","Bloco de Esquerda","Left Bloc",1999,,"620001",1310
"PRT","CDS-PP","Centro Democrático e Social-Partido Popular","Social and Democratic Centre-People's Party",1974,,"620002",1308
"PRT","L","Livre","Free",2014,,"620003",
"PRT","MAS","Movimento Alternativa Socialista","Socialist Alternative Movement",2013,,"620004",
"PRT","MPT","Partido da Terra","Earth Party",2014,,"620005",
"PRT","PAN","Pessoas - Animais - Natureza","People - Animals - Nature",2009,,"620006",97
"PRT","PCP","Partido Comunista Português","Portuguese Communist Party",1921,,"620007",310
"PRT","PDA","Partido Democrático do Atlântico","Democratic Party of the Atlantic",1979,,"620008",
"PRT","PEV","Partido Ecologista ""Os Verdes""","Ecologist Party \The Greens\""""",1982,,"620009",
"PRT","P.H.","Partido Humanista","Humanist Party",1999,,"620010",
"PRT","PLD","Partido Liberal Democrata","Liberal Democrats",2007,,"620011",
"PRT","PND","Nova Democracia","New Democracy",2003,,"620012",
"PRT","PNR","Partido Nacional Renovador","National Renovator Party",2000,,"620013",
"PRT","POUS","Partido Operário de Unidade Socialista","Party Workers of Socialist Unity",1979,,"620014",
"PRT","PPD/PSD","Partido Popular Democrático - Partido Social Democrata","Democratic People's Party - Social Democratic Party",1974,,"620015",1359
"PRT","PPV","Portugal Pro Vida","Portugal Pro Life",2009,,"620016",
"PRT","PPM","Partido Popular Monárquico","Popular Monarquic Party",1974,,"620017",
"PRT","PS","Partido Socialista","Socialist Party",1973,,"620018",655
"PRT","PTP","Partido Trabalhista Português","Portuguese Labour Portuguese",2009,,"620019",
"ROU","FSN",,"National Salvation Front",1990,,"642001",
"ROU","PNL","Partidul National Liberal","Democratic liberal Party",1990,,"642002",481
"ROU","FSN",,"National Salvation Front",1990,,"642003",
"ROU","PNTCD","Partidul National Taranesc Crestin Democrat","Christian Democratic National Peasants' Party",1989,,"642004",1750
"ROU","PRM","Partidul Romania Mare","Great Romania Party",1991,,"642005",1305
"ROU","UDMR","Uniunea Democrata a Maghiarilor din Romania","Union of Hungarians in Romania",1989,,"642006",1105
"ROU","PUR","Partidul Umanist Român","Romanian Humanist Party",1991,,"642007",1443
"ROU","PMP","Partidul Miscarea Populara","People's Movement Party",2014,,"642008",
"ROU","UNPR","Uniunea Nationala pentru Progresul Romaniei","National Union for the Progress of Romania",2010,,"642009",
"ROU","PPDD","Partidul Poporului Dan Diaconescu","People's Party - Dan Diaconescu",2011,,"642010",
"ROU","PNG","Partidul Noua Generacie","New Generation Party",2000,,"642011",296
"ROU","PAE","Partidul Alternativa Ecologista","New Democracy Party",2003,,"642012",
"ROU","PPPS",,"Party of Pensioners and Social Protection",1994,2011,"642013",400
"ROU","PCD","Partidul Crestin Democrat","Christian Democrat Party",2003,,"642014",
"ROU","PSR","Partidul Socialist Roman","Romanian Socialist Party",1992,2012,"642015",
"ROU","PSD-CTP","Partidul Social Democrat al Muncitorilor","Social Democratic Party Constantin Titel Petrescu",1991,2012,"642016",1217
"ROU","PER","Partidul Ecologist Roman","Ecologist Party of Romania",1990,,"642017",1373
"ROU","PUNR","Partidul Unitatii Natiunii  Române","Romanian Nation's Unity Party",1990,2006,"642018",1451
"ROU","PSU","Partidul Socialist Unit","United Socialist Party",2003,2005,"642019",
"ROU","PPC","Partidul Popular Crestin","Christian Popular Party",2003,2003,"642020",
"ROU","PPPSDTR","Partidul Forta Dreptatii","Private persons' party - Traditional Romanian Social-democratic party",1991,2006,"642021",
"ROU","PNCD","Partidul national democrat crestin","National Christian Democratic Party",1990,2012,"642022",
"ROU","PPR","Partidul popular","Romanian People's Party",2000,,"642023",
"ROU","PP","Partidul popular","People's party",2000,,"642024",
"ROU","PRN","Partidul Renasterea Romaniei","Romanian Rebirth Party",2004,2013,"642025",
"ROU","PAS","Partidul Alternativa Socialista","Socialist Alliance Party",2003,2012,"642026",
"ROU","PR","Partidul Republican","Third Millenium Party",2004,2007,"642027",
"ROU","FD","Forta Democratica","Romanian Democratic Force Party",2004,2012,"642028",
"ROU","FC","Forta Civica","Christian Party",2004,,"642029",
"ROU","PIN","Partidul Initiativa Nationala","National Initiative Party",2005,,"642030",1579
"ROU","PV","Partidul Verde","Green Party",2005,2007,"642031",
"ROU","PLD","Partidul liberal democrat","Liberal Democratic party",2007,2007,"642032",
"ROU","PRE","Partidul Romaniei Europene","European Romania Party",2010,,"642033",
"ROU","UPSC","Uniunea Populara Social Crestina","Social Christian People's Union",2006,,"642034",
"ROU","PCM","Partidul Civic Maghiar","Civic Magyar party",2008,,"642035",
"ROU","PUER","Partidul Uniunea Ecologista din Romania","Romanian  Green Union Party",2008,,"642036",
"ROU","PP-L.C","Partidul poporului","People's Party",2010,,"642037",
"ROU","PPRO","Partidul Prodemo","Prodemo Party",2011,,"642038",
"ROU","PDS","Partidul Dreptatii Sociale","Social Justice Party",2011,,"642039",
"ROU","Noua Republica","Partidul Noua  Republica","New Republic Party",2012,,"642040",
"SVK","ANO/IDEA","Aliancia Nového Obcana","Alliance of the New Citizens",2001,,"703001",
"SVK","HZD","Hnutie za demokraciu","Movement for Democracy",2002,,"703002",
