"country","party_id","party_abbrev","party_name","party_name_english"
"ESP",518,"IC","Iniciativa per Catalunya","Initiative for Catalonia"
"ESP",519,"PSC","Partit dels Socialistes de Catalunya","Catalan Socialist Party"
"ESP",520,"CHA","Chunta Aragonesista","Aragonese Council"
"ESP",521,"CpE","Coalicion por Europa","Coalition for Europe"
"ESP",522,"EdP-V","Europa de los Pueblos-Los Verdes","Europe of the Peoples-Greens"
"ESP",523,"UPyD","Unión Progreso y Democracia","Union, Progress, and Democracy"
"ESP",524,"Amaiur","Amaiur","Amaiur"
"ESP",525,"Podemos","Podemos","We Can"
"ESP",526,"Cs","Ciudadanos—Partido de la Ciudadanía","Citizens—Party of the Citizenry"
"FR",601,"PCF","Parti Communiste Français","French Communist Party"
"FR",602,"PS","Parti Socialiste","Socialist Party"
"FR",603,"PRG","Parti Radical de Gauche","Left Radical Party"
"FR",605,"VERTS","Les Verts","Green Party"
"FR",609,"RPR; UMP","Rassemblement pour la République; Union pour un Mouvement Populaire","Rally for the Republic; Union for Popular Movement"
"FR",610,"FN","Front National","National Front"
"FR",612,"RPF/MPF; MPF","Rassemblement pour la France / Mouvement Pour la France; Mouvement Pour la France","Rally for France / Movement for France; Movement for France"
"FR",613,"UDF; Modem","Union pour la Démocratie Française","Union for French Democracy"
"FR",614,"LO-LCR","Lutte Ouvrière / Ligue communiste révolutionnaire","Workers’ Struggle / Revolutionary Communist League"
"FR",615,"DL","Démocratie Libérale","Liberal Democracy"
"FR",617,"MEI","Mouvement Ecologiste Indépendant","Independent Ecological Movement"
"FR",618,"D","La Droite","The Right"
"FR",619,"CPNT","Chasse, Pêche, Nature, Traditions","Hunting, Fishing, Nature, Tradition Party"
"FR",620,"MN","Mouvement National Républicain","National Republican Movement"
"FR",621,"NC","Nouveau Centre","New Center"
"FR",622,"PRV","Parti radical","Radical Party"
"FR",623,"AC","Alliance centriste","Centrist Alliance"
"FR",624,"PG","Parti de Gauche","Left Party"
"FR",625,"Ens","Ensemble","Together"
"IRL",701,"FF","Fianna Fáil","Soldiers of Destiny"
"IRL",702,"FG","Fine Gael","Family of the Irish"
"IRL",703,"Lab","Páirti Lucht Oibre","Labour"
"IRL",705,"GP","Comhaontas Glas","Green Party"
"IRL",707,"SF","Sinn Féin","We Ourselves"
"IRL",708,"SP","Páirtí Sóisialach","Socialist Party"
"IRL",709,"PBPA","People Before Proﬁt Alliance","People Before Proﬁt Alliance"
"IT",802,"PDS; DS","Partito Democratico della Sinistra; Democratici di Sinistra","Democratic Party of the Left; Democrats of the Left"
"IT",803,"RC","Partito della Rifondazione Comunista","Communist Refoundation Party"
"IT",805,"AN","Alleanza Nazionale","National Alliance"
"IT",806,"PRI","Partito Repubblicano Italiano","Italian Republican Party"
