country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
EGY,ASU,Arab Socialist Union,5153,1962,1977,1962 Gamal Abdel Nasser (President),1962 Ali Sabri (President)
EGY,HDW,National Democratic Party,2370,1978,2010,1978 Anwar al-Sadat (President),1978 Mustafa Khalil (President)
ERI,COPWE,Commission for Organizing the Party of the Working People of Ethiopia,8432,1979,1982,1979 Dawit Wolde-Giorgis (Governor-general),
ERI,EPLF,Eritrean People's Liberation Front,8431,1991,1993,1991 Isaias Afewerki (Secretary-general of the Provisional Government),
ERI,PFDJ,People's Front for Democracy and Justice,4904,1994,2020,1994 Isaias Afewerki (President),
ESP,DLR,Liberal Republican Right,4595,1931,1935,1931 Niceto Alcalá-Zamora Torres (President),
ESP,AR,Republican Action,2413,1931,1938,1936 Manuel Azaña y Díaz (President),1931 Manuel Azaña y Díaz (President)
ESP,FET,Traditionalist Spanish Phalanx of the Committees of the National Syndicalist Offensive,5778,1939,1975,1939 Francisco Franco Bahamonde (Leader of Spain),1973 Carlos Arias Navarro (Leader of Spain)
EST,ERE/EDE,Progressive National Democratic Party / Estonian Democratic Party,5155,1918,1918,1918 Ado (Aadu) Birk (Chairman of the Provisional Diet),
EST,ESDTP,Estonian Social Democratic Workers' Party,7244,1919,1920,1919 August Rei (Chairman of the Constituent Assembly),
EST,ML/PK,Rural League / Farmers' Assemblies,5140,1918,1926,1921 Konstantin Päts (State Elder),1918 Konstantin Päts (Chairman of the Provisional Diet)
EST,ETE,Estonian Labour Party,5156,1922,1930,1922 Juhan (Johannes) Kukk (State Elder),
EST,ER,Estonian People's Party,5144,1919,1927,1924 Jüri Jaakson (State Elder),1919 Jaan Tõnisson (Chairman of the Constituent Assembly)
EST,ESTP,Estonian Socialist Workers' Party,5141,1928,1928,1928 August Rei (State Elder),
EST,I,Pro Patria Union,779,1992,2001,1992 Lennart Georg Meri (President),1999 Mart Laar (President)
EST,ERL,People's Union of Estonia,110,2001,2005,2001 Arnold Rüütel (President),
ETH,COPWE,Commission for Organizing the Party of the Working People of Ethiopia,8434,1979,1983,1979 Mengistu Haile Mariam (Chairman of the Provisional Military Administrative Council),
ETH,WPE,Workers Party of Ethiopia,5793,1984,1990,1984 Mengistu Haile Mariam (Chairman of the Provisional Military Administrative Council),1987 Fikre Selassie Wogderess (President)
ETH,TPLF,Tigrayan People's Liberation Front,5843,1991,2011,1991 Meles Zenawi Asres (President of the Transitional Government),1995 Meles Zenawi Asres (President)
ETH,OPDO,Oromo Peoples' Democratic Organization,5836,1995,2020,1995 Negasso Gidada Solon (President),2018 Abiy Ahmed Ali (President)
FIN,NP,Young Finnish Party,1905,1908,1917,1917 Otto Johannes Lundson (Speaker of the Diet of Finland),1908 Edvard Immanuel Hjelt (Governor-general)
