party_id,country,party_name_short,party_name_english,party_name,family,url,first,last,cabinet_n,election_n,share_max_year,share_max,wikipedia
874,SVK,SZS,Green Party,Strana zelených,eco,http://www.parlgov.org/explore/svk/party/874/,1990,2009,,2,1990,3.5,http://en.wikipedia.org/wiki/Green_Party_%28Slovakia%29
2235,SVK,SZ-92,Green Party -- 1992,Strana zelených – 1992,eco,http://www.parlgov.org/explore/svk/party/2235/,1992,1992,,1,1992,1.1,http://sk.wikipedia.org/wiki/Vo%C4%BEby_do_Slovenskej_n%C3%A1rodnej_rady_v_roku_1992
1061,SVK,VPN,Public against Violence,Verejnosť proti násiliu,lib,http://www.parlgov.org/explore/svk/party/1061/,1990,1992,2,2,1990,29.4,http://en.wikipedia.org/wiki/Public_Against_Violence
2798,SVK,V,Homeland,Vlasť,right,http://www.parlgov.org/explore/svk/party/2798/,2020,2020,,1,2020,2.9,https://sk.wikipedia.org/wiki/VLAS%C5%A4
2796,SVK,ZAL,For the People,Za ľudí,lib,http://www.parlgov.org/explore/svk/party/2796/,2020,2020,2,1,2020,5.8,https://en.wikipedia.org/wiki/For_the_People_(Slovakia)
1563,SVK,ZRS,Association of Workers of Slovakia,Združenie robotníkov Slovenska,com,http://www.parlgov.org/explore/svk/party/1563/,1994,1998,1,2,1994,7.3,http://en.wikipedia.org/wiki/Union_of_the_Workers_of_Slovakia
2013,SVK,ZZ,"Change from the Bottom, DU","Zmena zdola, DÚ",lib,http://www.parlgov.org/explore/svk/party/2013/,2012,2012,,1,2012,1.3,"https://sk.wikipedia.org/wiki/Zmena_zdola,_Demokratická_únia_Slovenska"
2338,SVN,PSS,Slovenian Pirate Party, Piratska stranka Slovenije,spec,http://www.parlgov.org/explore/svn/party/2338/,2014,2018,,2,2018,2.1,http://en.wikipedia.org/wiki/Pirate_Party_(Slovenia)
380,SVN,AS,Active Slovenia,Aktivna Slovenija,lib,http://www.parlgov.org/explore/svn/party/380/,2004,2004,,1,2004,4,http://en.wikipedia.org/wiki/Active_Slovenia
1587,SVN,DeSUS,Democratic Party of Pensioners of Slovenia,Demokratična stranka upokojencev Slovenije,spec,http://www.parlgov.org/explore/svn/party/1587/,1996,2019,10,7,2014,10.2,http://en.wikipedia.org/wiki/Democratic_Party_of_Pensioners_of_Slovenia
143,SVN,DS,Democratic Party,Demokratska stranka,soc,http://www.parlgov.org/explore/svn/party/143/,1992,1996,1,2,1992,5,http://en.wikipedia.org/wiki/Democratic_Party_of_Slovenia
2669,SVN,DD,Good Country,Dobra Drzava,soc,http://www.parlgov.org/explore/svn/party/2669/,2018,2018,,1,2018,1.5,https://sl.wikipedia.org/wiki/Dobra_dr%C5%BEava
2754,SVN,DOM,Homeland League,Domovinska liga,right,http://www.parlgov.org/explore/svn/party/2754/,2019,2019,,1,2019,1.7,https://en.wikipedia.org/wiki/Homeland_League
2570,SVN,DZL,Civic Green List,Driavljanska zelena lista,eco,http://www.parlgov.org/explore/svn/party/2570/,1990,1990,,1,1990,2,""
1988,SVN,DL,Civic List,Državljanska lista,lib,http://www.parlgov.org/explore/svn/party/1988/,2011,2014,2,1,2011,8.4,http://en.wikipedia.org/wiki/Gregor_Virant%27s_Civic_List
2022,SVN,GZS,Voice of Slovenian women,Glas žensk Slovenije,spec,http://www.parlgov.org/explore/svn/party/2022/,2004,2004,,1,2004,1.2,http://sl.wikipedia.org/wiki/Glas_%C5%BEensk_Slovenije
2383,SVN,I-JK,Independent -- Jelko Kacin,Independent – Jelko Kacin,none,http://www.parlgov.org/explore/svn/party/2383/,2014,2014,,1,2014,4.9,http://en.wikipedia.org/wiki/Jelko_Kacin
2241,SVN,KS,Christian Socialists,Krščanski socialisti,chr,http://www.parlgov.org/explore/svn/party/2241/,1992,1992,,1,1992,1.1,"http://en.wikipedia.org/wiki/Slovenian_parliamentary_election,_1992"
2670,SVN,L,The Left,Levica,com,http://www.parlgov.org/explore/svn/party/2670/,2018,2019,,1,2018,9.3,https://en.wikipedia.org/wiki/The_Left_(Slovenia)
1252,SVN,LDS,Liberal Democracy of Slovenia,Liberalna demokracija Slovenije,lib,http://www.parlgov.org/explore/svn/party/1252/,1990,2011,10,7,2000,36.3,http://en.wikipedia.org/wiki/Liberal_Democracy_of_Slovenia
2243,SVN,LDSS,Liberal Democratic Party of Slovenia,Liberalno demokratska stranka Slovenije,lib,http://www.parlgov.org/explore/svn/party/2243/,1992,1992,,1,1992,1.4,""
2668,SVN,LMS,List of Marjan Sarec,Lista Marjana Šarca,soc,http://www.parlgov.org/explore/svn/party/2668/,2018,2019,1,1,2018,12.6,https://en.wikipedia.org/wiki/List_of_Marjan_%C5%A0arec
1987,SVN,LZJ-PS,Zoran Jankovic's List -- Positive Slovenia,Lista Zorana Jankovića – Pozitivna Slovenija,soc,http://www.parlgov.org/explore/svn/party/1987/,2011,2014,1,2,2011,28.5,http://en.wikipedia.org/wiki/Positive_Slovenia
2573,SVN,NDS,National Democratic Party,Narodno demokratska stranka,con,http://www.parlgov.org/explore/svn/party/2573/,1992,1992,,1,1992,2.2,https://en.wikipedia.org/wiki/National_Democratic_Party_%28Slovenia%29
1047,SVN,NSI,New Slovenia -- Christian People's Party,Nova Slovenija – Krščanska ljudska stranka,chr,http://www.parlgov.org/explore/svn/party/1047/,1990,2019,8,9,1992,14.5,http://en.wikipedia.org/wiki/New_Slovenia_Christian_People%27s_Party
2755,SVN,Pose,Let's Unite,Povežimo se,eco,http://www.parlgov.org/explore/svn/party/2755/,2019,2019,,1,2019,1.7,""
2385,SVN,SS,Dream Job,Sanjska služba,eco,http://www.parlgov.org/explore/svn/party/2385/,2014,2014,,1,2014,3.5,""
2019,SVN,SO,Slovenia is Ours,Slovenija je naša,spec,http://www.parlgov.org/explore/svn/party/2019/,2004,2004,,1,2004,2.6,http://en.wikipedia.org/wiki/Slovenia_is_ours
1371,SVN,SDZ,Slovenian Democratic Union,Slovenska demokratična zveza,lib,http://www.parlgov.org/explore/svn/party/1371/,1990,1990,1,1,1990,9.5,http://en.wikipedia.org/wiki/Slovenian_Democratic_Union
179,SVN,SDS,Slovenian Democratic Party,Slovenska demokratska stranka,chr,http://www.parlgov.org/explore/svn/party/179/,1990,2019,8,9,2008,29.3,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Slovenia
16,SVN,SLS,Slovenian People's Party,Slovenska ljudska stranka,chr,http://www.parlgov.org/explore/svn/party/16/,1990,2018,7,9,1996,19.4,http://en.wikipedia.org/wiki/Slovenian_People%27s_Party
981,SVN,SNS,Slovenian National Party,Slovenska nacionalna stranka,code,http://www.parlgov.org/explore/svn/party/981/,1992,2019,,8,1992,10,http://en.wikipedia.org/wiki/Slovenian_National_Party
