wave,year,country,party,n,share
3,1998,608,608004,54,5.4
3,1998,608,608005,179,17.8
3,1998,608,608012,49,4.9
3,1998,608,608014,103,10.2
3,1998,608,608015,136,13.5
3,1998,608,608017,194,19.3
3,1998,608,608018,18,1.8
3,1998,608,608026,15,1.5
3,1998,608,608027,18,1.8
3,1998,608,608028,11,1.1
3,1998,608,608029,28,2.8
3,1998,608,608030,65,6.5
3,1998,608,608031,24,2.4
3,1998,616,616002,109,14.8
3,1998,616,616003,50,6.8
3,1998,616,616004,157,21.3
3,1998,616,616005,12,1.6
3,1998,616,616006,63,8.5
3,1998,616,616007,55,7.5
3,1998,616,616008,44,6
3,1998,616,616009,26,3.5
3,1998,616,616047,222,30.1
3,1998,630,630001,409,44.1
3,1998,630,630002,443,47.8
3,1998,630,630003,75,8.1
3,1998,642,642002,155,17.7
3,1998,642,642003,139,15.8
3,1998,642,642004,68,7.7
3,1998,642,642005,45,5.1
3,1998,642,642006,44,5
3,1998,642,642007,104,11.8
3,1998,642,642009,21,2.4
3,1998,642,642010,73,8.3
3,1998,642,642016,143,16.3
3,1998,642,642023,38,4.3
3,1998,642,642030,4,0.5
3,1998,642,642031,4,0.5
3,1998,642,642032,9,1
3,1998,642,642064,31,3.5
3,1998,643,643001,82,5.4
3,1998,643,643002,406,26.6
3,1998,643,643003,96,6.3
3,1998,643,643004,144,9.4
3,1998,643,643012,117,7.7
3,1998,643,643014,68,4.5
3,1998,643,643015,76,5
3,1998,643,643016,8,0.5
3,1998,643,643017,56,3.7
3,1998,643,643018,43,2.8
3,1998,643,643019,151,9.9
3,1998,643,643020,12,0.8
3,1998,643,643022,36,2.4
3,1998,643,643023,89,5.8
3,1998,643,643024,5,0.3
3,1998,643,643027,37,2.4
3,1998,643,643028,79,5.2
3,1998,643,643029,20,1.3
3,1998,703,703001,27,2.9
3,1998,703,703003,205,21.6
3,1998,703,703004,19,2
3,1998,703,703005,67,7.1
3,1998,703,703006,124,13.1
3,1998,703,703009,52,5.5
3,1998,703,703010,51,5.4
3,1998,703,703012,9,1
3,1998,703,703014,12,1.3
3,1998,703,703015,207,21.9
3,1998,703,703019,2,0.2
3,1998,703,703020,4,0.4
3,1998,703,703022,1,0.1
3,1998,703,703023,153,16.2
3,1998,703,703043,2,0.2
3,1998,703,703044,12,1.3
3,1998,705,705003,155,22.6
3,1998,705,705004,117,17.1
3,1998,705,705005,31,4.5
3,1998,705,705007,95,13.9
3,1998,705,705008,50,7.3
3,1998,705,705009,81,11.8
3,1998,705,705014,93,13.6
3,1998,705,705017,29,4.2
3,1998,705,705018,1,0.1
3,1998,705,705019,33,4.8
3,1998,710,710002,4,0.2
3,1998,710,710003,1429,58.2
3,1998,710,710005,6,0.2
3,1998,710,710007,85,3.5
3,1998,710,710008,77,3.1
3,1998,710,710013,54,2.2
3,1998,710,710014,117,4.8
3,1998,710,710015,642,26.1
3,1998,710,710016,37,1.5
3,1998,710,710017,5,0.2
3,1998,710,710018,1,0
3,1998,724,724001,237,34.2
3,1998,724,724002,253,36.5
3,1998,724,724003,97,14
3,1998,724,724005,13,1.9
3,1998,724,724006,14,2
3,1998,724,724011,8,1.2
3,1998,724,724021,5,0.7
3,1998,724,724025,1,0.1
3,1998,724,724031,1,0.1
3,1998,724,724041,3,0.4
3,1998,724,724042,10,1.4
3,1998,724,724043,1,0.1
3,1998,724,724052,2,0.3
3,1998,724,724062,35,5.1
3,1998,724,724063,6,0.9
3,1998,724,724071,2,0.3
3,1998,724,724072,2,0.3
3,1998,724,724081,3,0.4
3,1998,752,752001,47,6.2
3,1998,752,752002,43,5.7
3,1998,752,752003,19,2.5
3,1998,752,752004,108,14.3
3,1998,752,752005,183,24.3
3,1998,752,752006,247,32.8
3,1998,752,752007,107,14.2
3,1998,756,756001,177,14.6
3,1998,756,756002,208,17.2
3,1998,756,756003,116,9.6
3,1998,756,756004,56,4.6
3,1998,756,756005,36,3
3,1998,756,756006,13,1.1
3,1998,756,756007,6,0.5
3,1998,756,756008,33,2.7
3,1998,756,756009,14,1.2
3,1998,756,756010,13,1.1
3,1998,756,756011,21,1.7
3,1998,756,756012,10,0.8
3,1998,756,756013,18,1.5
3,1998,756,756041,327,27
3,1998,756,756042,96,7.9
3,1998,756,756043,68,5.6
3,1998,792,792001,188,11.4
3,1998,792,792002,162,9.8
3,1998,792,792003,184,11.1
3,1998,792,792004,164,9.9
3,1998,792,792005,9,0.5
3,1998,792,792006,102,6.2
3,1998,792,792013,14,0.8
3,1998,792,792015,225,13.6
3,1998,792,792017,122,7.4
3,1998,792,792018,423,25.6
3,1998,792,792019,5,0.3
3,1998,792,792055,54,3.3
3,1998,804,804005,395,19.1
3,1998,804,804006,409,19.7
3,1998,804,804007,29,1.4
3,1998,804,804008,42,2
3,1998,804,804009,108,5.2
3,1998,804,804020,55,2.7
3,1998,804,804022,32,1.5
3,1998,804,804023,45,2.2
3,1998,804,804024,62,3
3,1998,804,804025,71,3.4
3,1998,804,804029,55,2.7
3,1998,804,804031,31,1.5
3,1998,804,804032,193,9.3
3,1998,804,804034,18,0.9
3,1998,804,804035,31,1.5
3,1998,804,804036,92,4.4
3,1998,804,804037,80,3.9
3,1998,804,804038,101,4.9
3,1998,804,804039,23,1.1
3,1998,804,804040,89,4.3
3,1998,804,804041,40,1.9
3,1998,804,804043,3,0.1
3,1998,804,804044,8,0.4
3,1998,804,804046,40,1.9
3,1998,804,804048,21,1
