id,id_duplicate,ignore,country,name_short,name,name_english,name_source
643014,,0,RUS,VN,VlastNarodu,,RU: VlastNarodu (VN)
643015,,0,RUS,VR,Vpered Rossija,,RU: Vpered Rossija (VR)
643016,,0,RUS,DR,Demokraticeskaja Rossija,,RU: Demokraticeskaja Rossija (DR)
643017,,0,RUS,DVR-OD,Dem. Vybor Rossii-Obyedinennyi Dem.,Electoral Union,RU: Dem. Vybor Rossii-Obyedinennyi Dem. (DVR-OD;Electoral Union)
643018,,0,RUS,,Derzava,Power,RU: Power (Derzava)
643019,,0,RUS,ZR,Zensciny Rossii,,RU: Zensciny Rossii (ZR)
643020,,0,RUS,,Za Rodinu,For the Motherland,RU: For the Motherland (Za Rodinu)
643022,,0,RUS,,Komunisty -- Trudovaja Rossija- Za Sovetskij Sojuz,,RU: Komunisty - Trudovaja Rossija- Za Sovetskij Sojuz
643023,,0,RUS,KRO,Kongress russkich obscin,,RU: Kongress russkich obscin (KRO)
643024,,0,RUS,IR,,Ivana Rybkina (IR- Electoral Union),RU: Ivana Rybkina (IR- Electoral Union)
643027,,0,RUS,PGL,,Republican Party of Russia (Pamfilova-Gurov-Lysenko) ,RU: Republican Party of Russia (Pamfilova-Gurov-Lysenko) PGL
643028,,0,RUS,PS,Partiya Samoupravleniya,,RU: Partiya Samoupravleniya (PS)
643029,,0,RUS,,Profosuzoj i promyslenniki -- Sojuz Truda,,RU: Profosuzoj i promyslenniki - Sojuz Truda
643030,,0,RUS,,,Civil Force,RU - Civil Force
643031,,0,RUS,DPR,,Democratic Party of Russia,RU - Democratic Party of Russia - DPR
643032,,0,RUS,ER,,United Russia,RU - United Russia (ER) ?????? ??????
643033,,0,RUS,,Patrioty Rossii,Patriots of Russia,"RU - Patriots of Russia (???????? ??????, Patrioty Rossii)"
643034,,0,RUS,,,Fair Russia,RU - Fair Russia - ???????????? ??????
643035,,0,RUS,SPS,,The Union of Right Forces,RU - The Union of Right Forces - SPS
643036,,0,RUS,,,Social Justice Party,RU - Social Justice Party
643037,,0,RUS,,,The Russian United Democratic Party Yabloko,"RU - The Russian United Democratic Party Yabloko - ?????????? ???????????? ??????????????? ?????? ""??????"""
643038,,1,RUS,,,Other,RU - Other
646104,,0,RWA,,Front Patriotique Rwandais,Rwandan Patriotic Front,RW: Rwandan Patriotic Front (Front Patriotique Rwandais)
646105,,0,RWA,,Parti Social Imberakuri,Social Party Imberakuri,RW: Social Party Imberakuri (Parti Social Imberakuri)
646106,,0,RWA,,Parti Démocratique Chrétien,Christian Democratic Party,RW: Christian Democratic Party (Parti Démocratique Chrétien)
646107,,0,RWA,,Parti Démocratique Islamique,Islamic Democratic Party,RW: Islamic Democratic Party (Parti Démocratique Islamique)
646108,,0,RWA,,Parti Socialiste Rwandais,Rwandan Socialist Party,RW: Rwandan Socialist Party (Parti Socialiste Rwandais)
646109,,0,RWA,,Parti Social Démocrate,Social Democratic Party,RW: Social Democratic Party (Parti Social Démocrate)
646110,,0,RWA,,Union Démocratique Du Peuple Rwandais,Democratic Union of The Rwandan People,RW: Democratic Union of The Rwandan People (Union Démocratique Du Peuple Rwandais)
646111,,0,RWA,,Parti Pour Le Progrès Et La Concorde,Party For Progress and Concord,RW: Party For Progress and Concord (Parti Pour Le Progrès Et La Concorde)
646112,,0,RWA,,Parti Democratique Vert Du Rwanda,Democratic Green Party of Rwanda,RW: Democratic Green Party of Rwanda (Parti Democratique Vert Du Rwanda)
646113,,0,RWA,,Parti Libéral,Liberal Party,RW: Liberal Party (Parti Libéral)
702001,,0,SGP,PAP,,,SG: PAP
702002,,0,SGP,WP,,,SG: WP
702003,,0,SGP,SDP,,,SG: SDP
703001,,0,SVK,DS,Demokratickia Slovenska,Democratic Party,SK: Demokraticka Strana (DS) - Democratic Party
703002,,0,SVK,DU,,Democratic Union of Slovakia,SK: Demokratickia Slovenska (DU) - Democratic Union of Slovakia
703003,,0,SVK,HZDS,Hnutie za demokraticke Slovensko,Movement for a Democratic Slovakia,SK: Hnutie za demokraticke Slovensko (HZDS) - Movement for a Democratic Slovakia
703004,,0,SVK,KSS,Komunistická strana Slovenska,Communist Party of Slovakia,SK: Komunistická strana Slovenska (KSS) - Communist Party of Slovakia
703005,,0,SVK,KDH,Krestanskodemokraticke hnutie,Christian-Democratic Movement,SK: Krestanskodemokraticke hnutie (KDH) - Christian-Democratic Movement
703006,,0,SVK,SNS,Slovenska narodna strana,Slovak National Party,SK: Slovenska narodna strana (SNS) - Slovak National Party
703007,,0,SVK,,,,SK: ?
703008,,0,SVK,SDL,Strana demokratickej l avice,Party of the Democratic Left,SK: Strana demokratickej l avice (SDL) - Party of the Democratic Left
703009,,0,SVK,SMK,Madrskkoalia,Hungarian Coalition,SK: Madrskkoalia (SMK) Hungarian Coalition
703010,,0,SVK,SOP,Strana obcianskeho porozumenia,Party of Civil Understanding,SK: Strana obcianskeho porozumenia (SOP) - Party of Civil Understanding
703011,,0,SVK,SPZ,,Party of Businessmen and Entrepreneurs,SK: Party of Businessmen and Entrepreneurs (SPZ)
703012,,0,SVK,SZS,Strana zelenych na Slovensku,Party of Greens in Slovakia,SK: Strana zelenych na Slovensku (SZS) - Party of Greens in Slovakia
703013,,0,SVK,UZPR,,Entrepreneurs & Farmers Union,SK: Entrepreneurs & Farmers Union (UZPR)
703014,,0,SVK,ZRS,Zdruzenie Robotnikov Slovenska,Association of Workers of Slovakia,SK: Zdruzenie Robotnikov Slovenska (ZRS) - Association of Workers of Slovakia
703015,,0,SVK,SDK,Demokraticka Strana,Democratic Coalition,SK: Democratic Coalition (SDK)
703016,,0,SVK,MKM,Madarske krestansko-demokraticke hnutie,Hungarian Christian-Democratic Movement,SK: Madarske krestansko-demokraticke hnutie (MKM) - Hungarian Christian-Democratic Movement
703017,,0,SVK,,Spoluzitie (Egyutelles),Coexistence,SK: Spoluzitie (Egyutelles) - Coexistence
703018,203037,0,SVK,VPN,Verejnost proti nasiliu,Public against violence,SK: Verejnost proti nasiliu (VPN) - Public against violence
703019,,0,SVK,KSU,Krestanska Socialna Unia Slovenska,Christian Social Union of Slovakia,SK: Krestanska Socialna Unia Slovenska (KSU) - Christian Social Union of Slovakia
703020,,0,SVK,NSK,Nase Slovensko,,SK: Nase Slovensko (NSK)
703021,,0,SVK,NAS,Nova Agrarna Strana,,SK: Nova Agrarna Strana (NAS)
703022,,0,SVK,SZA,Slovenska Zelena Alternativa,Slovak Green Alterntive,SK: Slovenska Zelena Alternativa (SZA) - Slovak Green Alterntive
703023,,0,SVK,SD,Strana Demokratickej Zavice,,SK: Strana Demokratickej Zavice (SD1/4)
703025,,0,SVK,,,Civic forum,SK: Civic forum
703027,,0,SVK,,,Christian Democratic Movement,SK: Christian Democratic Movement
703028,,0,SVK,,,Czechoslovak people party,SK: Czechoslovak people party
703031,,0,SVK,,,Association of farmers & countrysides,SK: Association of farmers & countrysides
703032,,1,SVK,,,Undocumented,SK: Undocumented
703033,703032,1,SVK,,,Undocumented,SK: Undocumented
703034,703032,1,SVK,,,Undocumented,SK: Undocumented
703035,703032,1,SVK,,,Undocumented,SK: Undocumented
703036,703032,1,SVK,,,Undocumented,SK: Undocumented
703037,,0,SVK,,,Association for Moravia and Silesia,SK: Association for Moravia and Silesia
703038,,0,SVK,ANO,Aliancia noveho obcana,,SK - Aliancia noveho obcana - ANO
703039,,0,SVK,LS-HZDS,Ludova strana -- Hnutie za demokraticke Slovensko,,SK - Ludova strana-Hnutie za demokraticke Slovensko - LS-HZDS
703040,,0,SVK,SF,Slobodne forum,,SK - Slobodne forum - SF
703041,,0,SVK,DS,Slovenska demokraticka a krestanska unia-Demokraticka strana,,SK - Slovenska demokraticka a krestanska unia-Demokraticka strana - SdkU-DS
703042,,1,SVK,,,Other,SK - Other
703043,,0,SVK,SDSS,Socialnodemokraticka Strana na Slovensku,,SK: Socialnodemokraticka Strana na Slovensku (SDSS)
705001,,0,SVN,DS,,Democratic Party,SI: Democratic Party (DS)
705002,,0,SVN,DeSUS,,Democratic Party of Pensioners of Slovenia,SI: Democratic Party of Pensioners of Slovenia (DeSUS)
705003,,0,SVN,LDS,,Liberal Democracy of Slovenia,SI: Liberal Democracy of Slovenia (LDS)
705004,,0,SVN,SLS,,Slovene Peoples Party,SI: Slovene Peoples Party (SLS)
705005,,0,SVN,SNS,,Slovene National Party,SI: Slovene National Party (SNS)
705006,,0,SVN,SDS,,Social Democratic Party,SI: Social Democratic Party (SDS)
705007,,0,SVN,SKD,,Slovene Christian Democrats,SI: Slovene Christian Democrats (SKD)
705008,,0,SVN,ZLSD,,Associated List of Social Democrats,SI: Associated List of Social Democrats (ZLSD)
705009,,0,SVN,ZS,,Green Party,SI: Green Party (ZS)
705010,,0,SVN,KS,,Christian Socialists,SI: Christian Socialists (KS)
705011,,0,SVN,LS,,Liberal Party,SI: Liberal Party (LS)
