dataset_party_id,partyfacts_id
ISR-yiud,3132
ITA-an,813
ITA-cpe,8666
ITA-ccd,1767
ITA-cdu,763
ITA-ds,878
ITA-dc,934
ITA-dca,8667
ITA-dlm,279
ITA-fdv,851
ITA-fi,1626
ITA-fli,1179
ITA-id,643
ITA-ipdl,365
ITA-independent,2741
ITA-ln,1221
ITA-idv,768
ITA-ms,2046
ITA-ncd,2052
ITA-npsi,888
ITA-pdci,1635
ITA-prc,1404
ITA-pd,802
ITA-pds,8054
ITA-pli,1461
ITA-ppi,1701
ITA-pri,394
ITA-psdi,1126
ITA-psi,742
ITA-r,1449
ITA-rii,259
ITA-ril,259
ITA-sc,2281
ITA-sdi,750
ITA-udc,1758
ITA-ud,445
ITA-udce,445
ITA-udeur,115
JAM-independent,2744
JAM-jlp,2308
JAM-pnp,2309
JPN-ncp,702
JPN-independent,2748
JPN-ldp,1746
JPN-lp,13
JPN-pnp,352
JPN-k,1515
JPN-dpj,1804
JPN-jspsdp,3
JPN-nlc,1524
JPN-nps,392
JOR-ujfp,8920
JOR-independent,3593
JOR-iaf,4537
KAZ-no,3748
KAZ-otan,3748
KAZ-independent,3439
KAZ-pup,5906
KEN-fordk,3863
KEN-independent,2752
KEN-jp,6912
KEN-kanu,2316
KEN-ldp,4858
KEN-narc,5834
KEN-odm,2360
KEN-pnu,2359
KEN-pnu/odm,2360
KEN-tna,3867
KEN-udm,8872
KEN-urp,3856
PRK-dfrf,6555
KOR-hdsd,2307
KOR-independent,2757
KOR-lkp,7655
KOR-uld,2545
KOR-drp,4511
KOR-dpp,4457
KOR-mksh,894
KOR-djp,4341
KOR-mdp,2548
KOR-ncnp,2019
KOR-uri,2452
KWT-independent,4980
KGZ-aj,5382
KGZ-an,5910
KGZ-am,4527
KGZ-az,4529
KGZ-ak,6341
KGZ-independent,3599
KGZ-kp,6883
KGZ-r,4528
KGZ-sdpk,
LAO-independent,4986
LAO-lprp,5203
LAO-rlg,8713
LVA-dps,19
LVA-independent,2766
LVA-jl,1531
LVA-jp,1632
LVA-kds,304
LVA-lc,1043
LVA-lnnk,1789
LVA-lpp,1778
LVA-lpplc,461
LVA-lsdsp,741
LVA-ltf,1315
LVA-lvp,373
LVA-lzp,1296
LVA-lzs,1702
LVA-natblnnk,7619
LVA-ps,415
LVA-tp,1755
LVA-tpa,871
LVA-tb,671
LVA-v,852
LVA-zzs,701
LVA-zrp,1476
LBN-fpm,2564
LBN-hizb,3238
LBN-hm,8350
LBN-kataeb,2566
LBN-mpl,2772
LBN-nlp,6391
LBN-ssnp,3236
LBN-chebabist,
LBN-psp,2565
LBN-lf,3235
LBN-nb,4741
LBN-amal,3165
LBN-ldemp,2317
LBN-wp,
LBN-independent,2770
LBN-baas,
LBN-alp,8351
LBN-tp,7993
LBN-marada,3166
LBN-fm,2562
LSO-abc,3766
LSO-bcp,4167
LSO-bnp,4171
LSO-dc,4166
LSO-independent,3445
LSO-lecofode,3771
LSO-mfp,4172
LSO-pfd,4173
LBR-afl,3455
LBR-independent,3451
LBR-lap,5376
LBR-lpp,5870
LBR-lpc,4139
LBR-ndpl,4143
LBR-npp,4142
LBR-tw,5837
LBR-upp,5991
LBR-up,4140
LBY-jcp,3638
LBY-nfp,8435
LBY-independent,3605
LBY-npdw,8712
LTU-dp,102
LTU-independent,2778
LTU-lics,1193
LTU-lts,377
LTU-lcs,1185
LTU-lddp,546
LTU-lkdp,6804
LTU-llra,556
LTU-lls,1357
LTU-sajudis,5779
LTU-lrls,1744
LTU-lsdp,64
LTU-lvls,1490
LTU-ns,1800
LTU-pdp,105
LTU-tpp,347
LTU-tslkd,193
LTU-ttldp,237
LTU-vndps,1490
LUX-csv,539
LUX-grenggap,1138
LUX-dp,300
LUX-independent,2780
LUX-lsap,186
MKD-da,354
MKD-dpa,431
MKD-dui,1220
MKD-independent,2784
MKD-lp,2449
MKD-ldp,171
MKD-nd,5462
MKD-nsdp,2447
MKD-ope,
MKD-pdp,1033
MKD-pdmt,
MKD-sdsm,1508
MKD-spm,724
MKD-vmronp,
MDG-cscd,6597
MDG-rpsd,6086
MDG-arema,5311
MDG-hvr,
MDG-nfm,8436
MDG-independent,5205
MDG-leaderf,5370
MDG-maparird,8069
MDG-pmdm,6598
MDG-psd,5372
MDG-ymd,8438
MDG-tim,5201
MDG-vpmmmm,6227
MWI-aford,3733
MWI-dpp,4846
MWI-independent,3457
MWI-mwc,3732
MWI-pp,4847
MWI-rp,3737
MWI-udf,3734
MYS-mic,4743
MYS-akar,2485
MYS-independent,2789
MYS-pbds,8020
MYS-berjaya,8018
MYS-pbs,7092
MYS-pdp,8026
MYS-pgrm,6636
MYS-pas,2483
MYS-ldp,8023
MYS-pbb,5599
MYS-pps,8765
MYS-ppp,6635
MYS-supp,5880
MYS-prs,8027
MYS-mca,2484
MYS-umno,2318
MYS-upko,8024
MYS-snap,7891
MYS-usno,8017
MDV-ap,5683
MDV-dqp,5679
MDV-drp,5327
MDV-gip,8344
MDV-independent,4992
MDV-jp,5680
MDV-mda,5685
MDV-mdp,5329
MDV-nm,5679
MDV-ppm,5682
MDV-slp,4994
MLI-ademapasj,2477
MLI-asmacfp,8440
MLI-cnid,2478
MLI-independent,2794
MLI-parena,6084
MLI-mc,
MLI-mpr,6085
MLI-miria,
MLI-pdp,8028
MLI-rpm,2319
MLI-udpm,5374
MLI-udd,
MLI-urd,2476
MLI-usrda,2475
MLT-independent,2798
MLT-mlp,808
MLT-pn,699
MRT-independent,4998
MRT-pndd,5896
MRT-pag,5000
MRT-ppm,5289
MRT-prdr,5288
MRT-rfd,5199
MRT-udp,8029
MRT-upr,5819
MUS-independent,2802
MUS-verts,6457
MUS-mtd,6456
MUS-mmm,2460
MUS-mr,7143
MUS-msm,3798
MUS-mca,5702
MUS-opr,2463
MUS-ip,5375
MUS-pmsd,3800
MUS-pmxd,2461
MUS-psm,6410
MUS-pt,2320
MEX-independent,2806
MEX-pan,696
MEX-prd,216
MEX-pna,1345
MEX-pri,1474
MEX-pvem,446
MDA-prcm,4119
MDA-pmdp,2268
MDA-independent,2811
MDA-amn,2259
MDA-pcrm,2260
MDA-pdam,2262
MDA-pdm,2265
MDA-pfd,2261
MDA-pl,2272
MDA-pldm,2271
MDA-psm,2551
MNG-dp,2321
MNG-eonmassn,4902
MNG-independent,2816
MNG-izn,2468
MNG-man,2322
MNG-mndp,7142
MNG-msdp,5872
MNE-bs,3255
MNE-dps,3162
MNE-dua,3250
MNE-demos,5467
MNE-hgi,3253
MNE-independent,2820
MNE-ns,3645
MNE-sdpcg,3185
MNE-sda,7141
MAR-i,2482
MAR-amp,5325
MAR-ffd,8714
MAR-independent,2825
MAR-mp,2481
MAR-pjd,2479
MAR-pps,6220
MAR-pnd,5706
MAR-rni,2480
MAR-usfp,2324
MAR-cu,5323
MOZ-frelimo,2314
MMR-bspp,5796
MMR-mnp,4699
MMR-nld,5973
MMR-usdp,5818
MMR-independent,4697
NAM-independent,2835
NAM-swapo,2331
NPL-cpnuml,3755
NPL-nc,3756
NPL-nsp,6412
NPL-tmlp,3758
NPL-ucpnm,3759
NPL-independent,3463
NPL-mjf,3754
NPL-rpp,3753
NLD-arp,163
NLD-chu,1102
NLD-cda,1157
NLD-cu,1459
NLD-d,45
NLD-ds,921
NLD-independent,2839
NLD-kvp,1390
NLD-pvda,1234
NLD-ppr,1581
NLD-vvd,828
NZL-act,752
NZL-a,716
NZL-independent,2842
NZL-lp,1049
NZL-mp,1716
NZL-mpa,8668
NZL-np,1824
NZL-nzfp,591
NZL-pp,150
NZL-unz,1631
NIC-apre,8619
NIC-fsln,769
NIC-independent,2845
NIC-mdn,8875
NIC-pcn,6847
NIC-plc,286
NIC-pli,3656
NIC-pliun,7147
NIC-pln,4749
NIC-ppsc,5699
NIC-psc,7146
NIC-uno,7145
NER-pmr,7627
NER-rdpjunird,5804
NER-andp,2351
NER-cds,2352
NER-fdr,
NER-independent,2849
NER-modenfa,5385
NER-mnsdn,2350
NER-pnds,2325
NER-pund,5644
NER-ppnrda,5347
NER-rsd,5348
NER-sawaba,5647
NER-udr,5645
NGA-anpp,2313
NGA-apc,5538
NGA-apga,6144
NGA-independent,2854
NGA-npn,5351
NGA-npp,5352
NGA-pdp,2354
NGA-sdp,510
NOR-dna,448
NOR-fr,101
NOR-h,503
NOR-independent,2863
NOR-krf,705
NOR-sp,1925
NOR-sv,719
NOR-v,1173
OMN-independent,6350
PAK-mqmhpg,2387
PAK-nal,8704
PAK-anp,2326
PAK-independent,2867
PAK-jui,2386
PAK-jui-f,2386
PAK-mma,7150
PAK-pmln,2384
PAK-pmlf,
PAK-pmlj,6637
PAK-pmlq,2385
PAK-ppp,2383
PAN-adp,380
PAN-cd,59
PAN-independent,2871
PAN-molirena,1555
PAN-pl,5315
PAN-pla,5718
PAN-pln,380
PAN-ppa,202
PAN-pppdc,987
PAN-ppn,7155
PAN-pr,6567
PAN-prd,1351
PAN-tpn,6564
PAN-up,7156
