country,id,accronym,party_name,party_name_english
Montenegro,9106,DSCG,Demokratski savez u Crnoj Gori,Democratic League in Montenegro
Montenegro,9107,KS-P,Albanska koalicija perspektiva,Albanian Coalition Perspective
Montenegro,9108,HGI,Hrvatska građanska inicijativa,Croatian Civic Initiative
Montenegro,9109,BS,Bošnjačka stranka,Bosniak Party
Montenegro,9110,SDP CG,Socijaldemokratska partija Crne Gore,Social Democratic Party of Montenegro
Poland,9201,PO,Platforma Obywatelska,Civic Platform
Poland,9202,PiS,Prawo i Sprawiedliwość,Law and Justice
Poland,9203,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance
Poland,9204,PSL,Polskie Stronnictwo Ludowe,Polish People's Party
Poland,9205,MN,Komitet Wyborczy Mniejszość Niemiecka,German Minority Electoral Committee
Poland,9206,RAS,Ruch Autonomii Śląska,Silesian Autonomy Movement
Romania,9301,PSD,Partidul Social Democrat,Social Democratic Party
Romania,9302,PD-L,Partidul Democrat-Liberal,Democratic Liberal Party
Romania,9303,PNL,Partidul Naţional Liberal,National Liberal Party
Romania,9304,PRM,Partidul România Mare,Greater Romania Party
Romania,9305,UDMR,Uniunea Democrată Maghiară din România/Romániai Magyar Demokrata Szövetség,Democratic Union of Hungarians in Romania
Romania,9306,PCM-MPP,Partidul Civic Maghiar/Magyar Polgári Párt,Hungarian Civic Party
Romania,9307,FDGR,Forumul Democrat al Germanilor din România/ Demokratisches Forum der Deutschen in Rumänien,Democratic Forum of Germans in Romania
Serbia,9501,DS,Demokratska stranka,Democratic Party
Serbia,9502,SNS,Srpska napredna stranka,Serbian Progressive Party
Serbia,9503,SRS,Srpska radikalna stranka,Serbian Radical Party
Serbia,9504,DSS,Demokratska stranka Srbije,Democratic Party of Serbia
Serbia,9505,SPS,Socijalistička partija Srbije,Socialist Party of Serbia
Serbia,9506,LDP,Liberalno-demokratska partija,Liberal Democratic Party
Serbia,9507,SVM,Savez vojvođanskih Mađara,Alliance of Vojvodina Hungarians
Serbia,9508,DSVM,Demokratska stranka vojvođanskih Mađara,Democratic Party of Vojvodina Hungarians
Serbia,9509,SDP,Sandžacka demokratska partija,Sandzak Democratic Party
Serbia,9510,SDA,Stranka demokratske akcije Sandžaka,Party of Democratic Action of Sandzak
Serbia,9511,BDZ,Bošnjacka demokratska zajednica,Bosniak Democratic Community
Serbia,9512,PDD,Partija za demokratsko delovanje,Party for Democratic Action
Serbia,9513,DPA,Demokratska partija Albanaca,Democratic Party of Albanians
Serbia,9514,DSHV,Demokratski savez Hrvata u Vojvodini,Democratic Alliance of Croats in Vojvodina
